SF|LF|MetaMap CUI|CSI|Ratio in CSI|UMLS CUI|UMLS SOURCE|ADAM|Ratio in ADAM|Dictionary
IVC|intravenous cholangiograph||||||||1
IVC|intravenous cholangiography|C0203082|||C0203082|CHV|1|0.0237|1
IVC|intraventricular catheter||||||||1
IVC|intraventricular conduction|C0489574|||||||1
IVC|isovolumic contraction|C2923410|||||||1
IVF|Artificial Fertilization;artificial fertilization;Fertilization in Vitro;Fertilization in vitro;Fertilizations in Vitro;In Vitro Fertilization;In Vitro Fertilizations;In vitro fertilisation;In vitro fertilization;In-vitro fertilisation;In-vitro fertilization;fertilisation in vitro;fertilization in vitro;in vitro Fertilization;in vitro fertilisation;in vitro fertilization;in-vitro fertilisation;vitro fertilisation;vitro fertilization;Fertilization, Test-Tube;Fertilizations, Test-Tube;Test Tube Fertilization;Test-Tube Fertilization;Test-Tube Fertilizations;test-tube fertilization;In vitro fertilisation procedure;In vitro fertilization procedure;Test tube baby technique;Test tube ovum fertilisation;Test tube ovum fertilization|C0015915|1|0.616|C0015915|CHV;CSP;ICD10PCS;LCH;MEDLINEPLUS;MSH;MTH;MTHCH;NCI;SNOMEDCT|1|0.9695|1
IVF|CDCD2|C1419864;C1832680|||C1419864|HUGO|||
IVF|CMPD2|C1413522;C1419864|||C1419864|HUGO|||
IVF|HB1|C1419864;C1825768|||C1419864|HUGO|||
IVF|HB2|C1419864;C1825769|||C1419864|HUGO|||
IVF|HBBD|C1419864;C1879286|||C1419864|HUGO|||
IVF|HH1;ICCD;NAV1.5;Nav1.5;PFHB1;SCN5A;SCN5A gene|C1419864|||C1419864|HUGO;LNC;MTH;OMIM|||
IVF|IVF|C0015915;C1419864|||C0015915;C1419864|CHV;CSP;HUGO;MEDLINEPLUS;NCI;SNOMEDCT|||
IVF|In vitro fertilisation procedure (procedure)||||C0015915|SNOMEDCT|||
IVF|LQT3;long QT syndrome 3|C1419864;C1859062|||C1419864|HUGO|||
IVF|Other Procedures @ Physiological Systems and Anatomical Regions @ Other Procedures @ None @ External @ Other Method @ In Vitro Fertilization||||C0015915|ICD10PCS|||
IVF|SODIUM CHANNEL, VOLTAGE-GATED, TYPE V, ALPHA SUBUNIT;sodium channel, voltage-gated, type V, alpha subunit|C1121069;C1419864|||C1419864|HUGO;OMIM|||
IVF|SSS1|C1419864;C1425415;C1837845|||C1419864|HUGO|||
IVF|Test tube ovum fertilization (procedure)||||C0015915|SNOMEDCT|||
IVF|idiopathic ventricular fibrillation|C0340493|||C0340493|MSH;OMIM|1|0.0073|
IVF|in vitro fertilization (IVF)||||C0015915|CHV|||
IVF|in vivo fertilization|C0232905|||||||1
IVF|interventricular foramen|C0016520;C1281034|||C0016520;C1281034|CHV;FMA;NCI;SNOMEDCT;UWDA|||1
IVF|intervertebral foramen|C0223085;C1281347|||C0223085;C1281347|CHV;FMA;SNOMEDCT;UWDA|||1
IVF|intravascular fluid||||||||1
IVF|intravenous fluid|C1289919|1|0.376|C1289919|CHV;NCI;SNOMEDCT|1|0.0045|1
IVF|intravenous fluorescein||||||||1
IVF|intravertebral foramen||||||||1
IVF|vitro fertilization and embryo transfer||||||1|0.0032|
IVF|vitro fertilized||||||1|0.0155|
IVIG|Antibodies, Intravenous;Intravenous Antibodies;IV Immunoglobulins;IV immunoglobulin;Immunoglobulins, IV;IVIG;Immune Globulin Intravenous;Immune Globulin, Intravenous;Intravenous Immune Globulin;intravenous immune globulin;Immunoglobulins, Intravenous;Intravenous Immunoglobulins;Intravenous immunoglobulin;intravenous immunoglobulin;intravenous immunoglobulins;Intravenous IG;intravenous Ig|C0085297|1|1|C0085297|CHV;MSH;MTH;NDFRT;PDQ;RXNORM;SNOMEDCT|1|0.9057|1
IVIG|GLOBULIN,IMMUNE (IV);Immune Globulin IV;Immune globulin IV;IG IV;IGIV;IV IG|C0085297;C1527233|||C0085297|HL7V2.5;HL7V3.0;MSH;NDFRT;PDQ;SNOMEDCT;VANDF|||
IVIG|Immune globulin IV (product)||||C0085297|SNOMEDCT|||
IVIG|Immune globulin IV (substance)||||C0085297|SNOMEDCT|||
IVIG|Immunoglobulins, Intravenous [Chemical/Ingredient]||||C0085297|NDFRT|||
IVIG|Intravenous immunoglobulin (product)||||C0085297|SNOMEDCT|||
IVIG|Intravenous immunoglobulin (substance)||||C0085297|SNOMEDCT|||
IVIG|intravenous IgG||||||1|0.0082|
IVIG|intravenous gamma globulin;intravenous gammaglobulin||||||1|0.0441|
IVIG|intravenous immunoglobulin G||||||1|0.0247|
IVIG|intravenous immunoglobulin preparations||||||1|0.0075|
IVIG|intravenous immunoglobulin therapy||||||1|0.0097|
IVP|Consent Type - IVP|C1548873|||C1548873|MTH|||
IVP|IVP;ivp|C0203108;C1548873|||C0203108;C1548873|CHV;HL7V2.5;NCI|||
IVP|IVP - Intravenous pyelogram;intravenous pyelogram (IVP);IVU - Intravenous urogram;Intravenous Pyelogram;Intravenous pyelogram;Intravenous pyelogram, NOS;intravenous pyelogram;Intravenous Pyelography;intravenous pyelography;Intravenous pyelogram without KUB;Intravenous urogram;intravenous urogram;Intravenous urography;Intravenous urography, NOS;intravenous urography;Intravenous urography without KUB;excretory urography;pyelogram;pyelograms|C0203108|||C0203108|CCS;CHV;ICD9CM;MTH;NCI;SNOMEDCT|1|0.596|1
IVP|Intravenous pyelogram (procedure)||||C0203108|SNOMEDCT|||
IVP|Intravenous urogram (procedure)||||C0203108|SNOMEDCT|||
IVP|Retired procedure (procedure) [P5-60030]||||C0203108|SNOMEDCT|||
IVP|Retired procedure [P5-60030]||||C0203108|SNOMEDCT|||
IVP|excretory urogram||||||1|0.0458|
IVP|intravascular pressure||||||||1
IVP|intravenous push|C1319196|||C1319196|NCI;SNOMEDCT|||1
IVP|intravenous pyelograph||1|1.000|||||1
IVP|intraventricular pressure|C0206177|||C0206177|CHV;CSP;MSH|1|0.0974|1
IVP|intravesical pressure|C0232843|||||1|0.0315|1
IVP|vitro embryo production||||||1|0.0229|
IVP|vitro produced||||||1|0.1547|
IVP|vitro production||||||1|0.0516|
IV|CI||||C0022326|NCI|||
IV|CIV||||C0022326|NCI|||
IV|COTE D'IVOIRE;Cote d'Ivoire;cote d'ivoire;Ivory Coast;coast ivory;ivory coast;Republic of Cote diIvoire|C0022326|||C0022326|AOD;CHV;LCH;MSH;MTH;NCI;SNOMEDCT|||
IV|Fourth|C0205438;C1706303|||C1706303|NCI|||
IV|Fourth (suffix)|C1706303|||C1706303|MTH|||
IV|INTRAVENOUS;Intravenous;intravenous;IV - Intravenous;intravenous (IV)|C0348016|1|0.97|C0348016;C1522726|CHV;HL7V2.5;MTH;NCI;SNOMEDCT|1|0.9365|1
IV|IV;On IV;iv;Roman Numeral IV;Roman numeral IV|C0677510|||C0021440;C0022326;C0348016;C0677510;C1416522;C1522726;C1706303|CHV;CSP;HL7V2.5;HUGO;LNC;MTH;NCI;SNOMEDCT|||
IV|IV (qualifier value)||||C0677510|SNOMEDCT|||
IV|IV - Intravenous infusion;IV Infusion;IVI - Intravenous infusion;Intravenous infusion (procedure);Intravenous infusion procedures;Parenteral Infusion Procedure|C0021440|||C0021440|MTH;NCI;SNOMEDCT|||
IV|IV gene;inversus situs, viscerum|C1416522|||C1416522|HUGO;MTH|||
IV|IV route;iv route;Intravenous Route of Administration;Intravenous Route of Drug Administration;Intravenous use;intravenous use;intravenous uses|C1522726|||C1522726|CHV;MTH;NCI;SNOMEDCT|||
IV|IV use;iv uses||||C1522726|CHV;SNOMEDCT|||
IV|IVI - Intavenous infusion||||C0021440|SNOMEDCT|||
IV|Infusion, Intravenous;Infusions, Intravenous;Intravenous Infusion;Intravenous Infusions;Intravenous infusion;Intravenous infusion, NOS;infusion intravenous;intravenous infusion;intravenous infusions|C0021440;C1272892;C1621368|||C0021440|CHV;MSH;NCI;SNOMEDCT|1|0.0032|
IV|Intravenous (qualifier value)||||C0348016|SNOMEDCT|||
IV|Intravenous infusion procedures (procedure)||||C0021440|SNOMEDCT|||
IV|Intravenous injection;intravenous injection|C0021494|||C0021494|AOD;CHV;MSH;NCI;SNOMEDCT|1|0.0063|
IV|Intravenous route;IntravenousRoute|C0205520;C1522726|||C1522726|HL7V3.0;SNOMEDCT|||
IV|Intravenous route (qualifier value)||||C1522726|SNOMEDCT|||
IV|Ivory Coast (geographic location)||||C0022326|SNOMEDCT|||
IV|Parenteral Infusion|C0021440;C0021441|||C0021440|NCI|||
IV|Roman numeral IV (qualifier value)||||C0677510|SNOMEDCT|||
IV|SIV||||C1416522|HUGO|||
IV|administered intravenously||||||1|0.0436|
IV|administration intravenous;intravenous administration|C0013125;C0021440|||C0021440|CHV|1|0.0034|
IV|ichnovirus|C0999783|||C0999783|NCBI|||
IV|ichthyosis vulgaris|C0079584|||C0079584|CHV;MSH;MTH;NCI;NDFRT;OMIM;SNOMEDCT|||1
IV|immunodeficiency virus|C0682458|||||||1
IV|in vitro|C0021135;C1533691;C2827718|||C0021135;C1533691;C2827718|CHV;MSH;MTH;NCI|||1
IV|in vivo|C1515655|||C1515655|CHV;NCI|||1
IV|injections|C0021485;C1533685|||||1|0.0029|
IV|inserted into the vein (IV)||||C0348016|CHV|||
IV|interventricular||||||||1
IV|intervertebral|C0442106|||C0442106|CHV;SNOMEDCT|||1
IV|interview|C0021822;C0935630|||||||1
IV|intravaginal|C0442122|||C0442122|CHV;NCI;SNOMEDCT|||1
IV|intravascular|C0442123|||||||1
IV|intravenous feeding|C0021910|||C0021910|CHV;CSP;MSH;MTH;SNOMEDCT|||
IV|intravenously||||||||1
IV|intraventricular|C1517569|||C1517569;C1517571|MTH;NCI;SNOMEDCT|||1
IV|intravertebral||||||||1
IV|invasive|C0205281|||C0205281|CHV;LNC;MTH;NCI;SNOMEDCT|||1
IV|inversion|C0021943;C0021945;C1705687;C2349984|||||||1
IV|iodine value||||||||1
IV|iridovirus|C0206467|||C0206467|MSH;NCBI;SNOMEDCT|||
IV|jugular vein|C0022427;C1280188|||||1|0.0019|
IV|systemically||||||1|0.0022|
IV|vein infusion|C0021440;C1621368|||C0021440|CHV|||
JP|Aggressive Periodontitis;Periodontitis, Aggressive;Circumpubertal Periodontitis;Periodontitis, Circumpubertal;JP - Juvenile periodontitis;JPD - Juvenile periodontitis;PERIODONTITIS, AGGRESSIVE, 1;PERIODONTITIS, PREPUBERTAL;Periodontitis, Prepubertal;Prepubertal Periodontitis;Prepubertal periodontitis;Paradentosis;paradentosis|C0031106|||C0031106|CHV;MSH;NDFRT;OMIM;SNOMEDCT|||
JP|Aggressive Periodontitis [Disease/Finding]||||C0031106|NDFRT|||
JP|Early-Onset Periodontitis|C0031106;C0399447|||C0031106|MSH;NDFRT|||
JP|JA||||C0022341|NCI|||
JP|JAPAN;Japan;JPN|C0022341|||C0022341|AOD;CHV;CSP;LCH;MSH;MTH;NCI;SNOMEDCT|||
JP|JP|C0022341;C0031106;C1421124|||C0022341;C0031106;C1421124|HUGO;NCI;OMIM|||
JP|JPD|C0031106;C0268414;C1416530|||C0031106|OMIM|||
JP|Jackson-Pratt||1|1.000|||||1
JP|Japan (geographic location)||||C0022341|SNOMEDCT|||
JP|Jobst pump||||||||1
JP|Juvenile Periodontitis;Juvenile periodontitis;PERIODONTITIS, JUVENILE;Periodontitis, Juvenile;juvenile periodontitis|C0031106;C1416530|||C0031106;C1416530|CHV;CSP;HUGO;MSH;MTH;NDFRT;OMIM;SNOMEDCT|1|0.452|1
JP|Juvenile papillomatosis||||||1|0.0565|
JP|Juvenile periodontitis (disorder)||||C0031106|SNOMEDCT|||
JP|PPP|C0031106;C0370219|||C0031106|OMIM|||
JP|Periodontosis;periodontosis|C0031106;C0600298|||C0031106|CHV;SNOMEDCT|||
JP|Prepubertal periodontitis (disorder)||||C0031106|SNOMEDCT|||
JP|T cell receptor gamma joining P;TRGJP;TRGJP gene|C1421124|||C1421124|HUGO;MTH|||
JP|T-cell receptor, gamma, joining segment JP||||C1421124|HUGO|||
JP|jimpy||||||1|0.1695|
JP|joining peptide||||||1|0.0678|
JP|joint protection||||||||1
JP|juvenile parkinsonism|C0752105|||||1|0.1017|
JP|juvenile polyposis|C0345893|||C0345893|NCI|1|0.096|1
JP|psychotropic drugs in Japanese pharmacopoeia||||||1|0.0565|
JVD|JUGULAR VENOUS DISTENTION;Jugular venous distension;jugular venous distention;JVD;jvd;Jugular venous engorgement;Venous congestion of neck|C0425687|1|1|C0425687|CHV;DXP;SNOMEDCT|||1
JVD|Jugular venous engorgement (finding)||||C0425687|SNOMEDCT|||
JVP|jugular vein pulse||||||||1
JVP|jugular venous pressure|C0428897|1|1.000|C0428897|CHV;SNOMEDCT|1|1|1
JVP|jugular venous pulsation||||||||1
JVP|jugular venous pulse|C0232133|||C0232133|SNOMEDCT|||1
KBC|knowledge based charting||1|1.000|||||
KCL|high potassium|C0856882|||||1|0.022|
KCL|potassium chloride|C0032825|1|1.000|||1|0.978|1
KUB|KUB;Kidney-Ureter-Bladder;kidneys, ureters, bladder|C1979912|1|1|C1979912|LNC;MTH|||1
KUB|kidney ultrasound biopsy||||||||1
KUB|kidneys and urinary bladder||||||||1
L1|IGKV1-16;IGKV1-16 gene;IGKV116;immunoglobulin kappa variable 1-16|C1416177|||C1416177|HUGO;MTH|||
L1|L1|C0441918;C1179698;C1416177|||C0441918;C1179698;C1416177|FMA;HUGO;NCI;SNOMEDCT;UWDA|||
L1|L1 Cancer Stage Finding;L1 Lymphatic Invasion Finding;L1 Lymphatic Stage;Lymphatic Stage L1;Lymphatic stage L1;L1 Lymphatic Vessel Invasion Finding;L1 Stage;L1 stage;L1 Stage Finding;L1 stage (finding);L1 TNM Finding|C0441918|||C0441918|MTH;NCI;SNOMEDCT|||
L1|L1 innervation|C1179698|||C1179698|MTH|||
L1|L1 stage (tumor staging)||||C0441918|SNOMEDCT|||
L1|L1: lymphatic vessel invasion||||C0441918|SNOMEDCT|||
L1|LINE-1||||||1|0.2912|
L1|Lymphatic stage L1 (tumor staging)||||C0441918|SNOMEDCT|||
L1|deferiprone|C0043832|||C0043832|CHV;MSH;MTH;NCI;RXNORM;SNOMEDCT|||
L1|first|C0205435;C1279901|||||1|0.0769|
L1|first language|C0557073|||C0557073|SNOMEDCT|1|0.1209|
L1|first larval stage||||||1|0.044|
L1|first lumbar vertebra|C0223492|||C0223492|FMA;MTH;SNOMEDCT;UWDA|||
L1|first-stage larvae||||||1|0.1264|
L1|iron chelator deferiprone||||||1|0.0934|
L1|lumbar (level) 1||1|1.000|||||
L1|lymphatic invasion|C1708790|||||||1
L1|major|C0205164|||||1|0.0495|
L1|major capsid protein||||||1|0.0659|
L1|native language|C1510558|||||1|0.0549|
L1|oral iron chelator 1,2-dimethyl-3-hydroxypyrid-4-one||||||1|0.0769|
L2|L2|C1179699;C1418789;C1825810|||C0332411;C1179699;C1418789;C1825810|FMA;HUGO;OMIM;SNOMEDCT;UWDA|||
L2|L2 innervation|C1179699|||C1179699|MTH|||
L2|L2 stage|C0332411|||C0332411|MTH;SNOMEDCT|||
L2|L2 stage (finding)||||C0332411|SNOMEDCT|||
L2|L2 stage (tumor staging)||||C0332411|SNOMEDCT|||
L2|LGICZ;LGICZ1;ZACN;ZACN gene|C1825810|||C1825810|HUGO;MTH;OMIM|||
L2|LIGAND-GATED ION CHANNEL, ZINC-ACTIVATED, 1||||C1825810|OMIM|||
L2|LIPRIN-BETA-1;PPFIBP1;PPFIBP1 gene;PROTEIN-TYROSINE PHOSPHATASE, RECEPTOR-TYPE, F POLYPEPTIDE-INTERACTING PROTEIN-BINDING PROTEIN 1;PTPRF-INTERACTING PROTEIN-BINDING PROTEIN 1;hSGT2;hSgt2p|C1418789|||C1418789|HUGO;MTH;OMIM|||
L2|PTPRF interacting protein, binding protein 1 (liprin beta 1)||||C1418789|HUGO|||
L2|SGT2|C1418789;C1428131|||C1418789|HUGO|||
L2|ZAC;ZAC1|C1335223;C1709407;C1825810|||C1825810|HUGO;OMIM|||
L2|Zn(2+)-ACTIVATED CHANNEL||||C1825810|OMIM|||
L2|cell line|C0007600|||||1|0.1846|
L2|lumbar (level) 2||1|1.000|||||
L2|second language|C0557074|||C0557074|CHV;SNOMEDCT|1|0.5538|
L2|second lumbar||||||1|0.0769|
L2|second lumbar (l2) nerve||||C1179699|CHV|||
L2|second lumbar vertebra|C0223507|||C0223507|FMA;MTH;SNOMEDCT;UWDA|||
L2|second-stage larvae||||||1|0.1846|
L2|zinc activated ligand-gated ion channel||||C1825810|HUGO|||
L3|CerS2;FLJ10243;LAG1 homolog, ceramide synthase 2;LASS2;LASS2 gene;SP260|C1422392|||C1422392|HUGO;MTH;OMIM|||
L3|L3|C1179700;C1419655;C1422392|||C1179700;C1419655;C1422392|FMA;HUGO;UWDA|||
L3|L3 innervation|C1179700|||C1179700|MTH|||
L3|LAG1, S. CEREVISIAE, HOMOLOG OF, 2||||C1422392|OMIM|||
L3|RIBOSOMAL PROTEIN L3;ribosomal protein L3|C0073294;C1419655|||C1419655|HUGO;OMIM|||
L3|RPL3;RPL3 gene|C1419655|||C1419655|HUGO;MTH;OMIM|||
L3|infective||||||1|0.0571|
L3|infective larvae||||||1|0.4318|
L3|infective larval||||||1|0.0174|
L3|infective stage larvae||||||1|0.0323|
L3|infective third-stage||||||1|0.0099|
L3|infective third-stage larvae||||||1|0.0943|
L3|larva|C0023047|||||1|0.0397|
L3|level 3|C0456949|||C0456949|CHV;SNOMEDCT|||
L3|lumbar (level) 3||1|1.000|||||
L3|lumbar vertebra|C0024091;C1269051|||||1|0.0273|
L3|third|C0205437|||||1|0.072|
L3|third larval stage||||||1|0.0199|
L3|third lumbar (l3) nerve||||C1179700|CHV|||
L3|third lumbar vertebra|C0223522|||C0223522|FMA;MTH;SNOMEDCT;UWDA|||
L3|third stage|C0441771|||||1|0.0273|
L3|third stage larvae||||||1|0.1712|
L4|60S ribosomal protein L4;L4;RPL4;RPL4 gene|C1419676|||C1179701;C1419676|FMA;HUGO;MTH;OMIM;UWDA|||
L4|Fourth-stage larvae||||||1|0.5842|
L4|L4 Segmental Innervation|C1179701|||C1179701|MTH|||
L4|RIBOSOMAL PROTEIN L4;ribosomal protein L4|C0073302;C1419676|||C1419676|HUGO;OMIM|||
L4|fourth larval stage||||||1|0.0693|
L4|fourth lumbar||||||1|0.099|
L4|fourth lumbar vertebra|C0223537|||C0223537|CHV;FMA;MTH;SNOMEDCT;UWDA|||
L4|fourth-stage||||||1|0.1881|
L4|layer 4||||||1|0.0594|
L4|lumbar (level) 4||1|1.000|||||
L5|5th lumbar vertebra nerves;L5 Segmental Innervation|C1179702|||C1179702|CHV;MTH|||
L5|Bone structure of L5;Fifth lumbar vertebra;fifth lumbar vertebra|C0223552|||C0223552|CHV;FMA;MTH;SNOMEDCT;UWDA|||
L5|Bone structure of L5 (body structure)||||C0223552|SNOMEDCT|||
L5|FLJ32011;KINOCILIN;kinocilin;KNCN;KNCN gene|C1969618|||C1969618|HUGO;MTH;OMIM|||
L5|KINO|C1011810;C1969618|||C1969618|HUGO;OMIM|||
L5|L5;l5|C1419683;C1969618|||C0223552;C1179702;C1419683;C1969618|CHV;FMA;HUGO;OMIM;UWDA|||
L5|L5 VERTEBRA;L5 Vertebra;L5 vertebra;l5 vertebra|C0223552;C1305617|||C0223552|CHV;FMA;NCI;UWDA|||
L5|RIBOSOMAL PROTEIN L5;ribosomal protein L5|C0073304;C1419683|||C1419683|HUGO;OMIM|||
L5|RPL5;RPL5 gene|C1419683|||C1419683|HUGO;MTH;OMIM|||
L5|fifth lumbar||||||1|0.4167|
L5|lumbar (level) 5||1|0.998|||||
L5|lumbar vertebra|C0024091;C1269051|||||1|0.5833|
LAD|Anterior descending branch of left coronary artery;Anterior interventricular branch of left coronary artery;Anterior interventricular coronary artery;LEFT ANTERIOR DESCENDING CORONARY ARTERY;left anterior descending coronary artery;Left anterior descending artery;left anterior descending artery;Left anterior descending branch of left coronary artery;Structure of anterior descending branch of left coronary artery|C0226032|||C0226032|CHV;FMA;HCPCS;MTH;SNOMEDCT;UWDA|1|0.6001|
LAD|BRANCHED CHAIN ALPHA-KETO ACID DEHYDROGENASE COMPLEX, E3 COMPONENT;DLD gene;DLDH;GCSL;GLYCINE CLEAVAGE SYSTEM L PROTEIN;LIPOAMIDE REDUCTASE;PHE3;PYRUVATE DEHYDROGENASE COMPONENT E3|C1414063|||C1414063|HUGO;MTH;OMIM|||
LAD|CD18||||C1706333|NCI|||
LAD|DIAPHORASE;DIHYDROLIPOAMIDE DEHYDROGENASE;dihydrolipoamide dehydrogenase;DIHYDROLIPOYL DEHYDROGENASE;LIPOAMIDE DEHYDROGENASE;Lipoamide dehydrogenase;lipoamide dehydrogenase;LIPOYL DEHYDROGENASE|C0023783;C1414063|||C0023783;C1414063|HUGO;MSH;NDFRT;OMIM|1|0.0033|1
LAD|DLD|C1414063;C2826331|||C1414063|HUGO;OMIM|||
LAD|E3||||C1414063|OMIM|||
LAD|E3 component of pyruvate dehydrogenase complex, 2-oxo-glutarate complex, branched chain keto acid dehydrogenase complex||||C1414063|HUGO|||
LAD|ITGB2 wt Allele;LCAMB;MF17|C1706333|||C1706333|MTH;NCI|||
LAD|Integrin, Beta 2 (Antigen CD18 (p95), Lymphocyte Function-Associated Antigen 1; Macrophage Antigen 1 (MAC-1) Beta Subunit) wt Allele||||C1706333|NCI|||
LAD|LAD||||C0226032;C0398738;C1414063;C1706333|FMA;NCI;OMIM|||
LAD|LAD - Leucocyte adhesion deficiency type 1;LAD - Leukocyte adhesion deficiency type 1;LAD-Type I;LEUKOCYTE ADHESION DEFICIENCY, TYPE I;LFA-1 deficiency;LFA-I Deficiency;LFA1 IMMUNODEFICIENCY;LYMPHOCYTE FUNCTION-ASSOCIATED ANTIGEN 1 IMMUNODEFICIENCY;Lymphocyte function-associated antigen 1 immunodeficiency;Leucocyte adhesion deficiency - type 1;Leukocyte Adhesion Deficiency Type 1;Leukocyte adhesion deficiency - type 1;Leukocyte adhesion deficiency type 1;Leucocyte adhesion molecule deficiency - type 1;Leukocyte adhesion molecule deficiency - type 1;Mo-1 deficiency|C0398738|||C0398738|MSH;MTH;NCI;OMIM;SNOMEDCT|||
LAD|LAD1|C0398738;C1416770|||C0398738|OMIM|||
LAD|LDA;lda||||C0226032|CHV;UWDA|||
LAD|LFA-1|C0079717|||C1706333|NCI|||
LAD|Left ant des coronary artery||||C0226032|HCPCS|||
LAD|Leukocyte adhesion deficiency;leukocyte adhesion deficiency|C0272187|||C0272187|CHV;NCI;SNOMEDCT|1|0.0247|
LAD|Leukocyte adhesion deficiency - type 1 (disorder)||||C0398738|SNOMEDCT|||
LAD|Ramus interventricularis anterior (Arteria coronaria sinistra)||||C0226032|FMA|||
LAD|Structure of anterior descending branch of left coronary artery (body structure)||||C0226032|SNOMEDCT|||
LAD|lactate dehydrogenase;lactic acid dehydrogenase|C0022917|||C0022917|AOD;CHV;CSP;NCI;SNOMEDCT|||1
LAD|language acquisition device||||||||1
LAD|left anterior descending||1|0.992|||1|0.2986|1
LAD|left anterior descending branch||||||1|0.0075|
LAD|left anterior descending coronary||||||1|0.0081|
LAD|left atrial defect||||||||1
LAD|left atrial diameter||||||1|0.0114|1
LAD|left atrial dilation||1|0.002|||||
LAD|left atrial dimension||||||1|0.0124|1
LAD|left axis deviation|C0232297|||C0232297|CHV;SNOMEDCT|1|0.0075|1
LAD|ligament augmentation device||||||1|0.0091|1
LAD|ligamentous anterior dislocation||||||||1
LAD|linear A disease||||||||1
LAD|linear IgA bullous dermatosis;linear IgA dermatosis;linear IgA disease|C0406650|||||1|0.0173|
LAD|linoleic acid depression||||||||1
LAD|lymphadenopathy|C0497156|1|0.006|||||
LAD|lymphocyte-activating determinant|C0019754;C0302291|||||||1
LA|AUTOANTIGEN La;LARP3;La RIBONUCLEOPROTEIN DOMAIN FAMILY, MEMBER 3;La ribonucleoprotein domain family, member 3;SJOGREN SYNDROME ANTIGEN B;SSB gene|C1420423|||C1420423|HUGO;MTH;OMIM|||
LA|Agglutination Test, Latex;Agglutination Tests, Latex;Latex Agglutination Test;Latex Agglutination Tests;Latex agglutination test;Latex agglutination test, NOS;Test, Latex Agglutination;Tests, Latex Agglutination;agglutination latex tests;latex agglutination test;latex agglutination tests;Fixation Test, Latex;Fixation Tests, Latex;Latex Fixation Test;Latex Fixation Tests;Test, Latex Fixation;Tests, Latex Fixation;latex fixation test;LA - Latex agglutination;Latex agglutination;agglutination latex;latex agglutination;latex particle agglutination test|C0023117|||C0023117|AOD;CHV;CSP;HL7V3.0;MSH;MTH;SNOMEDCT|1|0.058|1
LA|L-arginine|C0003765|||||1|0.0044|
LA|LA;La||||C0023034;C0023117;C0024024;C1420423|HUGO;LNC;NCI|||
LA|LAO;Laos;laos;LAO PEOPLE'S DEMOCRATIC REPUBLIC;Lao People's Democratic Republic|C0023034|||C0023034|AOD;CHV;LCH;MSH;MTH;NCI;SNOMEDCT|||
LA|Lanthanum;lanthanum|C0023031|||||1|0.0153|1
LA|Laos (geographic location)||||C0023034|SNOMEDCT|||
LA|Laparoscopic adrenalectomy;laparoscopic adrenalectomy|C0521267|||C0521267|CHV;SNOMEDCT|1|0.0102|1
LA|Latex agglutination test (procedure)||||C0023117|SNOMEDCT|||
LA|Los Angeles|C0024015|1|0.080|||1|0.0071|1
LA|Louisiana;louisiana;Louisiana (geographic location)|C0024024|1|0.004|C0024024|AOD;CHV;LCH;MSH;MTH;NCI;SNOMEDCT|||
LA|Ludwig angina|C0024081|||||||1
LA|Lyme arthritis|C0242381|||||1|0.0048|
LA|SSB|C1167121;C1420423|||C1420423|HUGO;OMIM|||
LA|Sjogren syndrome antigen B (autoantigen La)||||C1420423|HUGO|||
LA|alpha-lactalbumin|C0002287;C1442889|||||1|0.0082|
LA|alpha-lipoic acid|C0023791|||C0023791|CHV;MSH;NCI;NDFRT;PDQ;SNOMEDCT;VANDF|||
LA|anti-SS-B||||||1|0.0037|
LA|antibodies|C0003241|||||1|0.0031|
LA|blood lactate||||||1|0.0231|
LA|blood lactate concentration||||||1|0.0037|
LA|labial|C0023759|||||||1
LA|lactalbumin|C0022912|||C0022912|CHV;CSP;LNC;MSH;NDFRT;SNOMEDCT|||
LA|lactate|C0022924;C0376261|||C0022924;C0202115;C0376261|AOD;CHV;CSP;LNC;MSH;MTH;NCI;NDFRT;RXNORM;SNOMEDCT;VANDF|||
LA|lactate concentration||||||1|0.0153|
LA|lactic acid|C0064582|||C0064582;C0202115|AOD;CHV;MSH;MTH;MTHSPL;NCI;NDFRT;RXNORM;SNOMEDCT;VANDF|1|0.0384|1
LA|lactic acidemia|C0347959;C1855560|||C0347959|CHV;CSP;OMIM;SNOMEDCT|||
LA|lactic acidosis|C0001125|||C0001125|AOD;CHV;CSP;CST;DXP;MSH;MTHICD9;NDFRT;OMIM;SNOMEDCT|1|0.0034|
LA|lactide|C0293984|||C0293984|MSH|||
LA|lambert|C1551092|||||||1
LA|laminin|C0022984|||C0022984|AOD;CHV;CSP;FMA;MSH;MTH;NCI;NDFRT;UWDA|1|0.0037|
LA|language age||||||||1
LA|laparoscopic|C0031150;C0393360|||||1|0.0034|
LA|laparoscopic appendectomy;laparoscopic appendicectomy|C0372525|||C0372525|CHV;ICD9CM;NCI;SNOMEDCT|1|0.0204|1
LA|lard|C0064658|||C0064658;C1420806|CHV;HUGO;MSH;MTH;OMIM;SNOMEDCT|||
LA|large aggregates||||||1|0.0024|
LA|large amount||||||||1
LA|large aspiny||||||1|0.0031|
LA|large surfactant aggregates||||||1|0.0024|
LA|laser ablation|C0348007|||C0348007|CHV;MSH;MTH;SNOMEDCT|1|0.0041|
LA|laser angioplasty|C0078950|||C0078950|CHV;CSP;MSH|||1
LA|late abortion|C0948496|||C0948496|CHV|||1
