abbreviation	sense	variation	CUI	frequency
b_l	bilateral/bilaterally	B/L_6|b/l_14	c0238767	1
mch	mean corpuscular hemoglobin	MCH_6	c1261502	1
mcg	micrograms	mcg_23	c0439211	1
c-pco2	pco2	C-pCO2_9	c0391839	1
bmi	body mass index	bmi_1|BMI_11	c1305855	1
gen	genetic	gen_1	c0314603	0.013
gen	general	Gen_17|GEN_6	c0205246	0.987
al	alabama	AL_8	c1551894	0.9962
al	aluminum	AL_1	c0002367	0.0038
bms	bare metal stent	BMS_5	c2825200	0.025
bms	bowel movements	BMs_9|BMS_3|bms_3	c0011135	0.975
bmp	basic metabolic panel	BMP_19|bmp_1	c2237045	1
mca	middle cerebral artery	MCA_19	c0149566	1
bmt	bone marrow transplant	BMT_15|bmt_5	c0005961	0.899
bmt	bilateral myringotomy tube	BMT_6	c0844319	0.101
b_p	blood pressure	B/P_11|b/p_6|B/P._1	c0005823	1
mcv	mean corpuscular volume	MCV_7	c0524587	1
pat-pt	prothrombin time	Pat-PT_5	c0033707	1
c7	cervical 7	C7_15	c1306475	1
otu	outpatient transplant unit	OTU_20	c0029921|c0040732	1
mcp	metacarpal phalangeal	MCP_19|mcp_1	c0025525	1
p2	pulmonic heart sound	P2_9	c2058291	0.976
p2	para 2	P2_4	c0233071	0.024
pacu	post-anesthesia care unit	PACU_19|PACU._1	c0034871	1
hds	hemodynamically stable	HDS_12|hds_1	c0578150	1
rvr	rapid ventricular rate	RVR_14|rvr_1	c0750191	1
eomi	extraocular movements intact	EOMI_20	c0522327	1
cvs	cardiovascular system	CVS_16	c0007226	0.549
cvs	cvs	CVS_11|cvs_2	null	0.451
bili	bilirubin	Bili_24|BILI_1	c0005437	1
eoms	extraocular movements	EOMs_8|EOMS_2	c0015413	1
evd	external ventricular drain	EVD_24|evd_9	c0042517	0.998
evd	enterovirus by amp probe	EVD_1	c1736901	0.002
cvl	central venous line	CVL_20	c1145640	1
ar	allergic rhinitis	.AR_1|AR_15	c2607914	0.9693
ar	aortic regurgitation	AR_2	c0003504	0.0127
ar	acute rejection	AR_1	c3273245	0.018
w_fe	with iron	w/fe_4	c0302583	1
hdl	high-density lipoprotein	HDL_13	c0023821	1
rbc	red blood cell	RBC_11	c0014792	1
cvc	central venous catheter	CVC_21|cvc_2	c1145640	0.768
cvc	consonant vowel consonant	CVC_6	c0564171	0.232
cva	costovertebral angle tenderness	CVA_2	c0235634	0.378
cva	cerebral vascular accident	CVA_17|cva_1	c0038454	0.622
va	veterans affairs	VA_10|VA._1	c1549054	0.8156
va	ventricular atrial	VA_2	c0018827|c0018792	0.0531
va	visual acuity	VA_3|va_1	c0042812	0.0782
va	vacuum assisted	VA_1|V.A_2	c1956080	0.0531
ivf	intravenous fluids	IVF_18|ivf_2	c1289919	1
cont	continuous	cont_1	c0549178	0.0051
cont	continue	Cont_3|cont._2|cont_8|Cont._3	c0549178	0.9788
cont	contrast	CONT_1	c1979874	0.0162
ve	vaginal exam	VE_7	c0200048	0.1249
ve	postivie	ve_1	c1446409	0.0101
ve	minute ventilation	VE_1|Ve_5	c1301655	0.0775
ve	negative	ve_10	c0205160	0.1782
ve	positive	ve_13|Ve_1	c1446409	0.6093
ivc	inferior vena cava	IVC_21|ivc_1	c1269024	1
ip	inpatient	IP_1	c0021562	0.6531
ip	intraperitoneal	IP_2	c0442120	0.0099
ip	interphalangeal joint	IP_7	c1563055	0.337
n_v	nausea/vomiting	n/v._1|n/v_15|N/V_9	c0027498	1
ir	incomplete response	IR_1	null	0.002
ir	instant-release	IR_2|ir_1	null	0.1329
ir	interventional radiology	IR_20	c0034602	0.8338
ir	internal rotation	IR_2	c0231459	0.0312
ivh	intraventricular hemorrhage	IVH_23|ivh_1	c0240059	1
bil	bilaterally/bilateral	bil._3|bil_34|.bil_1	c0238767	1
avr	aortic valve replacement	AVR_19|avr_1	c0003506	0.986
avr	augmented voltage right arm	aVR_1	c0449217	0.014
iv	four	Iv_1|IV_3	c0205450	0.036
iv	intravenous	iv_10|IV_8	c0348016	0.964
ii	two	II_21|Ii_1	c0205448	1
susp	suspension	Susp_6|susp_9	c0038960	1
vs	versus	vs_11|vs._7	null	0.937
vs	vital signs	VS_5	c0518766	0.063
im	intramuscular	im_5|IM_15	c0442117	1
il	intralipid	IL_13	c0733854	1
h_o	history of	h/o_15|H/O_2|H/o_3	c0262926	1
wks	weeks	wks_20	c0439230	1
avg	average	avg._2|Avg_4|avg_16|AVG_2	c1510992	1
id	infectious disease	ID_16|.ID_1	c0009450	0.981
id	identification	I.D._1|ID_1|id_1	c0020792	0.019
pap	papanicolaou	Pap_12|pap_6|PAP_1	c0200845	0.998
pap	positive airway pressure	PAP_1	c1458048	0.002
ecmo	extracorporeal membrane oxygenation	ecmo_6|ECMO_25|..Ecmo_1	c0015357	1
u_a	urine analysis	U/A_19|u/a_6	c0042014	1
cea	carotid endarterectomy	CEA_8	c0014099	0.085
cea	carcinogenic embryonic antigen	CEA_14|.CEA_1	c0007082	0.915
u_l	units per liter	U/L_9|u/L_1|U/l_1	c0439339	0.998
u_l	unilateral	u/l_1	c0205092	0.002
u_s	ultrasound	U/S_11|u/s_9	c0041618	1
cmc	carpometacarpal	CMC_13|cmc_2	c0224620	1
pac	pulmonary artery catheter	PAC_20	c0179790	0.4007
pac	pediatric acute care	PAC_1|pac_1	c1689990	0.0182
pac	premature atrial contraction	PAC_5	c0033036	0.5812
oint	ointment	OINT_2|Oint_2|oint_26	c0028912	1
qam	quaque die ante meridiem	qam_15|QAM_2|Qam_2|q.a.m._1	c0585329	1
dht	dihydrotesterone	DHT_2	c0038148	0.011
dht	dobhoff tube	DHT_17|dht_5	c3204189	0.989
sah	subarachnoid hemorrhage	SAH_27|sah_5	c0038525	1
cpap	continuous positive airway pressure	CPAP_20|cpap_2|Cpap_1	c0199451	1
etd	eustachian tube dysfunction	ETD_18|etd_2	c0271468	1
phd	post hemodialysis	pHD_1	c1264635	0.004
phd	doctor of philosophy	phd_1|PhD_9|PHD_2	c1512022	0.996
hipaa	health insurance portability and accountability act	HIPAA_12	c0600593	1
nabs	normo-active bowel sounds	nabs_6|NABS_14	c0232693	1
urica	uric acid	UricA_10	c0041980	1
nph	neutral protamine hagedorn	nph_1|NPH_19	c0021658	1
ddavp	desmopressin	ddavp_4|DDAVP_23|ddAVP_1	c0011701	1
neutab	absolute neutrophils	NEUTAB_3	c0948762	1
alkp	alkaline phosphatase	AlkP_5	c0002059	1
an-gap	anion gap	AN-GAP_10	c0003074	1
ab-scr	antibody screen	Ab-Scr_10	c0368676	1
epo	erythropoietin	EPO_3|epo_13|Epo_6	c0014822	1
pfts	pulmonary function tests	PFTs_19|pfts_1	c0024119	1
epi	epinephrine	Epi_2|epi_15|epi._1|EPI_2	c0014563	1
prbcs	packed red blood cells	PRBCs_10|pRBCs_4|prbcs_6	c2316467	1
pt-inr	prothrombin time/international normalized ratio	PT-inr_8	c0033707|c0525032	1
simv	synchronized intermittent mandatory ventilation	SIMV_20	c0278335	1
bld	bleeding	bld_1	c0019080	0.004
bld	blood	Bld_4|bld_13|.Bld_1|BLD_1	c0005767	0.996
resp	respiratory	Resp_12|RESP_8|resp_1	c0521346	0.813
resp	respirations	Resp_1	c0035203	0.187
ldh	lactate dehydrogenase	LDH_20	c0022917	1
tft	thyroid function test	TFT_17|.TFT_1|tft_1	c0040130	1
ldl	low-density lipoprotein	LDL_17|ldl_1	c0023823	1
ubact	urinary bacteria	UBact_5	c1262012	1
mbrat	ck-mb ratio	MBRat_6	c0428616	1
psych	psychiatric/psychiatry	PSYCH_7|Psych_6|psych_7	c0205487	1
ng	nanogram	ng_9	c0439212	0.536
ng	nasogastric	NG_6	c3282907	0.439
ng	no growth	NG_5	c0445119	0.025
gluc	glucose	Gluc_10	c0017725	1
rpt	report	RPT_1|rpt_1	c0684224	0.883
rpt	repeat	rpt_8|Rpt_2	c0205341	0.117
ntauto	"neutrophil count, automatic"	NTAuto_5	c0200633	1
ualb	urinary albumin	UAlb_4	c0042038	1
g_dl	grams per deciliter	g/dL_18|g/dl_1	c0439267	1
bnp	brain natriuretic peptide	bnp._1|bnp_1|BNP_18	c1095989	1
fvc	forced vital capacity	FVC_10	c0231958	1
mhav	my health at vanderbilt	MHAV_12|mhav_5|MHaV_1	c0018684	1
gms	grams	gms_14	c0439208	1
nrbc	nucleated red blood cells	NRBC_16	c0014762	1
adl	activities of daily living	ADL_19|adl_1	c0001288	1
nos	not otherwise specified	nos_2|NOS_23|NOS._1|Nos_1	c1518425	1
adj	adjective	adj_1	c0870098	0.008
adj	adjusted	adj_6	c0456081	0.949
adj	adjustment	adj_3|ADJ_1|adj._1	c0456081	0.022
adj	adjacent	adj_8	c0205117	0.021
psh	past surgical history	PSH_13	c3482452	1
gvhd	graft versus host disease	gvhd_6|GVHD_21	c0018133	1
qwk	weekly	QWK_9|qwk_11	c0332174	1
aml	acute myelogenous leukemia	AML_26	c0023467	1
a_p	anterior/posterior	A/P_3	c1999039	0.0331
a_p	abdomen/pelvis	A/P_2	c1508499	0.008
a_p	assessment/plan	A/P_17	c1827496	0.9589
mos	months	mos_18|MOS_2	c0439231	1
w_a	wide awake	w/a_1	c0234422	0.1111
w_a	with a	w/a_3	null	0.8889
bid	bis in die	bid_16|BID_4	c0585361	1
psa	pseudomonas aeruginosa	PSA_1	c0033809	0.007
psa	prostate-specific antigen	psa_1|PSA_21	c0138741	0.993
lcx	left circumflex	LCX_16|LCx_6	c1305727	1
cf	cold formula	CF_1	c0307698	0.0031
cf	cystic fibrosis	CF_21	c0010674	0.9969
tid	ter in die	TID_6|tid_14	c0556984	1
mon	monday	Mon_11	c0585024	1
mom	milk of magnesia	mom_1	c0591789	0.036
mom	mother	mom_13|Mom_6	c0026591	0.964
bipap	bilevel positive airway pressure	BiPAP_8|bipap_4|BIPAP_6|BiPap_2	c1611149	1
ams	altered mental status	AMS_23	c0278061	1
ucx	urine culture	UCX_4|UCx_16|Ucx_3|ucx_2	c0430404	1
nr	no refills	NR_10|nr_2	c0205160|c0807726	0.6757
nr	normal rhythm	NR_3	c0231315	0.2061
nr	nonreactive	NR_3	c1295728	0.1182
trpi	troponin 1	TRPI_11|TrpI_1	c0041199	1
bpd	bronchopulmonary dysplasia	BPD_26|bpd_2	c0006287	1
gbs	group b streptococcus	GBS_26|gbs_1	c0579233	0.926
gbs	grgroup b streptococcus	GBS_1	c0318154	0.054
gbs	guillain-barre syndrome	GBS_3	c0018378	0.02
hdl-c	high-density lipoprotein cholesterol	HDL-C_7	c0023822	1
bpm	beats per minute	bpm_5	c0439385	0.646
bpm	breaths per minute	bpm_6	c0439386	0.354
bps	beats per second	bps_1	null	0.006
bps	blood pressures	BPs_17|bps_2	c0005823	0.994
wbc	white blood cell	WBC_19|wbc_1	c0023516	1
bph	benign prostatic hyperplasia	BPH_27	c0005001	1
eeg	electroencephalogram	EEG_20|eeg_1	c1527380|c1547121	1
k-wb	potassium whole blood	K-WB_8	c2702996	1
tah	total abdominal hysterectomy	tah_1|TAH_21	c0404079	1
vss	visual swallow study	VSS_2	c0412102	0.0102
vss	vital signs stable	VSS_15|vss_1	c0277803	0.9898
mohs	mohs	Mohs_11|MOHS_1	c0079850	1
urbc	urine red blood cells	URBC_7	c0221752	1
fev1	forced expiratory volume in 1 second	FEV1_14|fev1_1	c0429706	1
cabg	coronary artery bypass grafting	CABG_20	c0010055	1
retabs	reticulocyte antibodies	RetAbs_5	c0035286|c0003241	1
vsd	ventricular septal defect	VSD_22|vsd_1	c0018818	1
b1	thiamine	b1_6|B1_10	c0039840	1
diff	difficulty	diff_1	c1299586	0.002
diff	difficile	diff_2	c0079134	0.469
diff	differential	diff_11|Diff_1	c0443199	0.529
phys	physician	PHYS_1	c0031831	0.003
phys	physics	Phys_1	c0031837	0.003
phys	physical	Phys_5|phys_7	c0205485	0.994
hcl	hydrochloride	HCl_7|HCL_9|hcl_4	c1512523	1
mrsa	methicillin resistant staphylococcus aureus	MRSA_26	c1265292	1
gvh	graft versus host	gvh_21|GVH_11	c0018133	1
tms	tympanic membranes	TMs_18|tms_2	c1268971	1
cns	coagulase negative staphylococcus	CNS_5	c0445625	0.3363
cns	central nervous system	CNS_16	c0927232	0.6637
t_l	thoracic/lumbar	T/L_17|t/l_3	c0450219	1
pet	pet	pet_1|Pet_1	c0031268	0.007
pet	pressure equalization tubes	PET_2	c2090933	0.044
pet	positron emission tomography	PET_16	c0032743	0.949
ica	ionized calcium	iCa_4|ICa_1|ica_1	c0373561	0.032
ica	internal carotid artery	ICA_22|ica_1	c0007276	0.968
icd	international classification of diseases	ICD_2	c0870733	0.134
icd	implantable cardioverter-defibrillator	ICD_27	c0162589	0.866
meds	medications	Meds_8|meds_10|meds._1|MEDS_1	c0013227	1
eoabs	absolute eosinophils	EoAbs_5	c0200638	1
t12	thoracic twelve	T12_14	c0223371	1
tmg	toxic multinodular goiter	TMG_1	c0154143	1
ped	pediatric	ped_9|Ped_1	c1521725	1
l2	lumbar 2	L2_11	c1305242	0.9726
l2	living children (2)	L2_2	c2229975|c0205448	0.0274
tmj	temporomandibular joint	TMJ_29	c0039493	1
peg	polyethylene glycol	PEG_1	c0032483	0.0091
peg	percutaneous endoscopic gastrostomy	PEG_14|Peg_2|peg_1	c0176751	0.9909
o2	oxygen	O2_16	c0030054	1
icu	intensive care unit	ICU_19|icu_1	c0021708	1
bd	bronchodilator	BD_1	c0006280	0.24
bd	bone density	BD_2|bd_1	c0005938	0.76
plt	platelet	Plt_10|plt_9|PLT_3	c0005821	1
pls	please	pls_15|Pls_4	null	1
egs	emergency general surgery	EGS_20	c0184893	1
rul	right upper lobe	RUL_31|rul_1	c1261074	0.996
rul	right upper lid	RUL_1	c1289021	0.004
bc	blood glucose	BC_1	c0005802	0.0073
bc	blood culture	BC_17|bc_1	c0200949	0.818
bc	blue cross	BC_1	c0005864	0.0073
bc	blast crisis	BC_1	c0005699	0.0085
bc	cimino-brescia	BC_1	c1142577	0.0024
bc	birth control	BC_2	c0700589	0.0291
bc	buffy coat	BC_1	c0443089	0.1274
bl	body length	BL_1	c0005890	0.0086
bl	blood	Bl_3|bl_3|BL_1	c0005767	0.1305
bl	bilateral	BL_21|bL_1|bl_2	c0238767	0.8608
bm	bone marrow	BM_12|bm_2	c0005953	0.1472
bm	bowel movement	BM_6	c0011135	0.8528
hsm	hepatosplenomegaly	HSM_15|hsm_1	c0019214	1
cgy	centigray	cGy_20	c0556645	1
bp	blood pressure	BP_17|B.P_1|bp_2	c0005823	1
bs	bowel sounds	BS_10	c0232693	0.9013
bs	breath sounds	BS_4|bs_1	c0035234	0.0903
bs	b grades (plural)	Bs_1	c0441806	0.0042
bs	blood sugar	bs_1|BS_1	c0005802	0.0042
btl	bilateral tubal ligation	BTL_28|btl_1	c0589114	1
nml	normal	..nml_1|NML_2|nml_21	c0205307	1
ruq	right upper quadrant	RUQ_20	c0439734	1
bx	biopsy	Bx_4|bx_19|BX_3	c0005558	1
dcs	department of children's services	DCS_19	c0680063|c1704729|c0029039|c0557854|c1547116	0.997
dcs	detachable coil system	DCS_1	c1705946	0.003
vpec	vanderbilt preoperative evaluation center	.VPEC_1|VPEC_20	c1293091|c0205099	1
om	obtuse marginal	OM_6	c0226040	0.157
om	otitis media	OM_17	c0029882	0.843
chf	congestive heart failure	CHF_24	c0018802	1
ace	angiotensin converting enzyme	ACE_8|ace_3	c0201888	0.9638
ace	acetate	ace_1	c0000975	0.0362
ibd	inflammatory bowel disease	IBD_19|ibd_1	c0021390	1
scds	sequential compression devices	SCDs_17|scds_2|Scds_1	c0180062	1
od	oculus dexter	OD_22|od_4	c0229089	0.991
od	optical density	OD_1	c0439164	0.009
chol	cholesterol	Chol_8|chol_4|CHol_1	c0008377	1
ob	obstetric/obstetrical	ob_1|Ob_1|OB_12	c0205484	1
oa	osteoarthritis	OA_18	c0029408	1
acl	anterior cruciate ligament	ACL_18	c0078960	0.9949
acl	acromioclavicular ligament	ACL_1	c1267179	0.0051
le	le bonheur	Le_1	null	0.002
le	leukocyte esterase	LE_2	c0125619	0.008
le	lower extremity	LE_15|LE._1	c0023216	0.99
bgs	blood glucose	BGs_12|Bgs_1|bgs_9	c0005802	1
bmbx	bone marrow biopsy	BMBx_11|bmbx_11|BMBX_4|BmBx_1|Bmbx_6|BMbx_1	c0005954	1
ov	office visit	OV_13|ov_3|Ov_1	c0028900	0.984
ov	ovarian	ov_2	c0205065	0.016
ot	occupational therapy	OT_17	c1318464	1
os	outputs	Os_2	c0221102	0.1174
os	oculus sinister	OS_15|os_5	c0229090	0.8826
obs	obstructive	obs_1	c0549186	0.002
obs	observation	Obs_1|obs_8	c1571702	0.996
obs	organic brain syndrome	OBS_1	c0029221	0.002
op	operation	OP_1|op_2	c0543467	0.376
op	oropharynx	OP_13|op_1	c1280659	0.617
op	outpatient	OP_1	c0029921	0.003
op	osteoporosis	OP_2	c0029456	0.004
dexa	dual-energy x-ray absorptiometry	dexa_1|Dexa_6|DEXA_14	c1510486	1
sob	shortness of breath	sob_4|SOB_16	c0013404	1
ppd	pack per day	ppd_5|PPD_6	c0489469	0.921
ppd	purified protein derivative	PPD_12	c0034131	0.079
ppi	peripheral pulses intact	PPI_1	null	0.006
ppi	proton pump inhibitor	PPI_21|ppi_2	c0358591	0.994
nsr	normal sinus rhythm	NSR_21|nsr_1	c0232202	1
ppx	prophylaxis	ppx_15|PPx_3|PPX_4	c0033107	1
wocn	"wound, ostomy, and continence nurses"	wocn_1|WOCN_12|Wocn_1	c0043250|c0029473|c0587710	1
eent	"eye, ear, nose, and throat"	EENT_13	c2360548	1
hep	heparin	Hep_1|hep_2	c0019134	0.019
hep	home exercise program	HEP_4	c0475647	0.017
hep	hepatitis	hep_4|HEP_1|Hep_7	c0019158	0.96
hep	hepatic	hep_1	c0205054	0.004
cath	catheter	cath_8|CATH_1	c0085590	0.081
cath	catheterization	cath_11	c0007430	0.919
vac	vacuum assisted closure	VAC_7|vac_3|Vac_1	c1956080	0.883
vac	vaccine	vac_6|VAC_2|Vac_1	c0042210	0.117
appt	appointment	appt_16|Appt_2|appt._2	c0003629	1
ivda	intravenous drug abuse	IVDA_11|ivda_1	c0086181	1
abnl	abnormal	abnl._1|abnl_18	c0205161	1
dm2	diabetes mellitus type 2	DM2_12	c0011860	1
var	variant	var_10|var._1	c0205419	1
ngtd	no growth to date	NGTD_17|ngtd._1|ngtd_2	c0445119	1
ehl	extensor hallucis longus	EHL_18|ehl_2	c0224466	1
yrs	years	yrs_19|YRS_1	c0439234	1
rca	right coronary artery	RCA_20	c0226042	1
q12	every 12 hours	Q12_3|q12_7	c0585327	1
stsg	split thickness skin graft	STSG._1|STSG_21|stsg._1|stsg_2	c0439061	1
hz	hertz	hz_2|Hz_16|HZ_2	c0439482	1
hx	history	Hx_9|hx_8|HX_2|hx._1	c2004062	1
hr	heart rate	HR_3|H.R_2	c0018810	0.135
hr	hour	hr_14|Hr_1	c0439227	0.865
hs	high school	HS_3	c0870649	0.0213
hs	heart sounds	HS_1|hs_1	c0018820	0.0264
hs	heel-shin	HS_2	c0575094	0.0294
hs	hora somni	hs_6|HS_5	c0521112	0.9157
hs	half strength	H.S_1	c1705922	0.0071
eac	external acoustic meatus	EAC_18	c0013444	1
dnr	do not resuscitate	DNR_23	c0582114	1
ht	height	Ht_9|ht_1	c0489786	1
msg	monosodium glutamate	msg_1|MSG_2	c0037511	0.006
msg	message	msg_12|Msg_2|MSG_2|msg._1	c0470166	0.994
cryo	cryosurgery	cryo_7	c0010408	0.0291
cryo	cryoprecipitate	cryo_3|Cryo_4	c0443121	0.9709
bun	blood urea nitrogen	BUN_10	c0600137	1
pbsct	peripheral blood stem cell transplant	PBSCT_16|pbsct_4	c1519005	1
lymph	lymphatic	Lymph_6|LYMPH_7|lymph_2	c1522604	1
kg	kilogram	kg_16|Kg_3|KG_1	c0439209	1
ha	headache	ha_1|HA_15|Ha_1	c0018681	1
sdh	subdural hematoma	SDH_20|sdh_8	c0018946	1
hg	mercury	Hg_1	c2347108	0.998
hg	hemoglobin	Hg_1	c0019046	0.002
hd	hospital day	HD_3	c0587438	0.6893
hd	hemodynamically	HD_1	c0019010	0.0041
hd	high dose	HD_3	c0444956	0.0832
hd	hemodialysis	HD_11	c0019004	0.2234
bue	bilateral upper extremity	BUE_22|bue_3	c1140618	1
pulm	pulmonary	Pulm_13|PULM_6|pulm_4	c0024109	1
mtx	methotrexate	MTX_25	c0025677	1
fdg	fluorodeoxyglucose	FDG_6	c0872172	0.295
fdg	feeding	fdg_6	c0204695	0.705
supp	supplement	supp_7|Supp_1|supp._1	c2348609	0.1148
supp	suppository	supp_11|Supp_1	c0038854	0.7888
supp	suppositories	supp_1	c0038854	0.0085
supp	supplements	supp_1	c2348609	0.0354
supp	supplemental	supp_3	c2348609	0.0525
mtp	metatarsophalangeal	MTP_18|mtp_2	c0025589	1
uti	urinary tract infection	UTI_19|uti_1	c0042029	1
un	units	un_19|Un_1	c0439148	1
uwbc	urinary white blood cells	UWBC_5	c0919738	1
ue	upper extremities	UE_20	c1140618	1
asst	assistant	asst_1|Asst_4|ASST_5	c0334914	0.878
asst	assistance	asst_3|Asst_1	c0018896	0.031
asst	assisted	asst_1|asst._1	c1269765	0.091
uf	ultra fine	UF_4	c0077801	1
ua	urinalysis	UA_20	c0042014	1
lvh	left ventricular hypertrophy	LVH_24	c0149721	1
x-ray	energetic high-frequency electromagnetic radiation	X-Ray_3|X-RAY_3|X-ray_4|x-ray_10	c0337030	1
aa	alcoholics anonymous	AA_5	c0001972	0.3741
aa	amino acid	aa_3|AA_4	c0002520	0.1775
aa	awake alert	AA_4	c2226610	0.1785
aa	aortic atresia	aa_2	c0265889	0.0223
aa	african american	AA_9	c0085756	0.2476
cbc	complete blood count	cbc_2|CBc_1|.CBC_1|CBC_16	c0009555	1
ac	antecubital	ac_1|AC_2	c1549091	0.013
ac	ante cibum	ac_6|AC_2	c1550738	0.7565
ac	anterior chamber	AC_3	c0003151	0.0165
ac	"cyclophosphamide, doxorubicin"	AC_3	c0050385	0.0225
ac	assist control	AC_1	c0419014	0.0189
ac	hb ac disease	AC_1	c0248175	0.0035
ac	acromioclavicular joint	AC_3	c0001208	0.169
ab	antibody	AB_8|ab_3|Ab_10	c0003241	0.951
ab	antibiotics	AB_1	c0003232	0.005
ab	abortion	Ab_2	c0156543	0.029
ab	abdomen	Ab_3	c1281594	0.015
ag	anion gap	AG_1	c0003074	0.0199
ag	antigen	Ag_12|AG_4|ag_4	c0003320	0.9801
af	atrial fibrillation	AF_3	c0004238	0.0222
af	afebrile	AF_11|af_1	c0277797	0.9335
af	anterior fontanelle	AF_3	c0224549|c1305081	0.0403
af	antifungal	AF_1	c0003308	0.004
qid	quater in die	q.i.d._1|qid_15|QID_4	c0585291	1
ecog	eastern cooperative oncology group	ECOG_19	c1512162	1
inr	international normalized ratio	INR_20	c0525032	1
ohc	occupational health clinic	OHC_15	c1551268	1
aq	aqueous	AQ_8|aq_2	c0599956	1
ap	anterior posterior	AP_18|ap_1	c1999039	1
ocps	oral contraceptive pills	OCPs_18|ocps_2	c0009905	1
sxs	symptoms	Sxs_1|sxs_19	c1457887	1
monabs	monoclonal antibodies	MonAbs_6	c0003250	1
inj	injection	inj_14|Inj_1	c0021485	0.998
inj	injury	INJ_1	c0175677	0.002
av	anteverted	AV_1	c0237062	0.0222
av	atrioventricular	AV_18	c0225871	0.783
av	arteriovenous	AV_6	c0450109	0.1948
pip	peak inspiratory pressure	PIP_3|pip_1	c0232021	0.247
pip	piperacillin	pip_1|Pip_1	c0031955	0.123
pip	proximal interphalangeal joint	PIP_14	c0932508	0.63
lym	lymphocytes	Lym_6	c0024264	0.978
lym	lymph	LYM_4	c0024202	0.022
inf	infusion	inf_7	c0574032	0.823
inf	inferior	inf._1|inf_11	c0542339	0.175
inf	infectious	Inf_1	c1550587	0.002
doe	dyspnea on exertion	DOE_14|doe_2	c0231807	0.992
doe	does	doe_2	c1272751	0.008
piv	peripheral intravenous	PIV_24	c0595824	1
nj	new jersey	NJ_1	c0027971	0.005
nj	nasojejunal	nj_1|NJ_15	c0595833	0.995
nl	normal	nl_17|Nl_3|NL_2	c0205307	1
nad	no acute distress	NAD_17|nad_3	c2051415	1
sicu	surgical intensive care unit	SICU_15	c1690590	1
na	sodium	Na_6|na_3	c0037473	1
nc	nasal cannula	NC_14|nc_1	c0179574	0.9825
nc	non-contributory	NC_1	c0556658|c1518422	0.0021
nc	normocephalic	NC_1	c1855201	0.0154
nd	neodymium-doped	Nd_1	c0392276	0.002
nd	second	nd_10	c0565930	0.1082
nd	non-distended	ND_7|nd_1	c1518422|c0700124	0.8898
mrn	medical record number	MRN_10	c1301894	1
nicu	neonatal intensive care unit	.NICU_1|NICU_21	c0021709	1
igg	immunoglobulin g	IgG_18|IGG_4	c0020852	1
hpi	history of present illness	HPI_20	c0262512	1
c-hco3	hco3	C-HCO3_10	c0005367	1
b12	cobalamin	B12_20	c0042845	1
es	extra strength	ES_8	c0444956	1
iga	immunoglobulin a	iga_1|IGA_3|IgA_21	c0020835	1
np	nurse practitioner	NP_9|N.P_2	c0028657	1
igm	immunoglobulin m	IGM_5|IgM_13|igm_2	c0020861	1
ns	normal saline	NS_3|ns_5	c0445115	0.8216
ns	nasal spray	NS_5|ns_1	c0461725	0.1784
nt	nontender	NT_14|nt_2	c0520960	1
tia	transient ischemic attack	TIA_17|Tia_2	c0007787	1
stat	statim	stat_8|Stat_1|STAT_1	c0205548	1
otc	over the counter	otc_6|OTC_14	c0013231	1
nsaid	nonsteroidal anti-inflammatory drug	NSAID_20|nsaid_2	c0003211	1
uspgr	urine specific gravity	uSpGr_1|uspgr_1|USpGr_8	c0202517	1
kvo	keep vein open	kvo_1|.KVO_1|KVO_8	c0515896	1
utis	urinary tract infections	UTIs_20	c0042029	1
rv	right ventricle	RV_1	c1269891	0.0279
rv	right ventricle/right ventricular	RV_19|rv_2	c1269891	0.9721
tbil	total bilirubin	TBil_8|Tbil_1|tbil_1	c0005437	1
vp	vice president	VP_1	null	0.002
vp	ventricular pacing	VP_1	c0199648	0.002
vp	ventriculoperitoneal shunt	VP_4|vp_1	c0162702	0.992
vp	vepesid	VP_2	c0700191	0.004
est	established	EST_1|est_1	c0443211	0.0928
est	estimated	EST_1|est_4	c0750572	0.5654
est	establish	est_1	c0443211	0.0633
est	estrogen	est_1	c0014939	0.0127
est	esterase	est_3	c0014894	0.2658
pfo	patent foramen ovale	PFO_22|pfo_5	c0016522	1
hcv	hepatitis c virus	HCV_23	c0220847	1
ky	kentucky	KY_15|Ky_5	c0022557	1
paps	papanicolaou's	Paps_13|PAPs_1|paps_6	c0079104	1
esr	erythrocyte sedimentation rate	ESR_16	c0086250	1
pmhx	past medical history	PMHx_21|pmhx_2|PMHX_3	c0455458	1
ge	gastroesophageal	GE_5|Ge_1|G.E_1	c0744316	0.963
ge	general electric	GE_2	c0336106	0.0041
ge	gastroenteritis	GE_2	c0017160	0.0308
ge	general education	G.E_1	c0815241	0.0021
cpk	creatine phosphokinase	CPK_19	c0010287	0.994
cpk	computerized photon knife	CPK_1	c0182639	0.006
hct	hematocrit	Hct_10|HCT_3|hct_1	c0018935	0.791
hct	hydrochlorothiazide	HCT_5|hct_1	c0020261	0.209
fsh	follicle stimulating hormone	FSH_20	c0016774	1
svg	saphenous vein graft	SVG_20	c0729538	1
svd	spontaneous vaginal delivery	SVD_26|svd_1	c0269694	1
vanc	vancomycin	vanc_13|VANC_1|Vanc_5	c0042313	1
eom	extraocular movement	EOM_17|Eom_2|.EOM_1	c0522327	1
eos	eosinophils	Eos_2|eos_1	c0014467	1
dds	doctor of dental surgery	DDS_8|Dds_1	c1512017	0.549
