LF1|LF2|Synonym
anti-galactocerebroside|galactocerebroside|N
electrospray ionisation mass spectrometry|electrospray mass spectrometry|Y
anti-matrix metalloprotease 3 antibody|anti-matrix metallopeptidase 3 antibody|Y
interleukin 4 receptor alpha|interleukin 4 receptor alpha subunit|Y
percutaneous nephrolitholapaxy|percutaneous nephrolithotomy|Y
second transmembrane segment|transmembrane segment 2|Y
retinoid X receptor gamma|rexinoid receptor gamma|Y
GTP binding protein beta subunit|G protein beta subunit|Y
neuropeptide Y2 receptor|neuropeptide Y Y2 receptor|Y
oto-acoustic emission|oto acoustic emission test|N
precipitate|precipitation|N
epithelial membrane protein|external membrane protein|N
xenotropic murine leukemia virus|xenotropic murine leukaemia-related virus|Y
small ubiquitin-like modifier|small ubiquitin-related modifier|Y
medical|medial|N
multi-drug-resistance 1|multidrug resistance gene 1|N
American Society of Anesthesiologists physical status 2|American Society of Anaesthesiologists status II|Y
human adenovirus 49|human adenovirus type 49|Y
human adenovirus 18|human adenovirus type 18|Y
left anterior descending coronary artery|left descending coronary artery|N
organophosphorus ester-induced delayed neuropathy|organophosphorus-induced delayed neurotoxicity|Y
high threshold|hearing threshold|N
American Society of Anaesthesiologists grade 4|American Society of Anaesthesiologists Class IV|Y
high temperature requirement factor A|high temperature requirement A|Y
anti-beta 2-glycoprotein-I antibody|anti-beta2-glycoprotein I antibodies|Y
maximal urine osmolality|maximum urine osmolality|Y
basic multi-cellular unit|basic multicellular unit|Y
minimum effective concentration|median effective concentration|N
human adenovirus 21|human adenovirus serotype 21|Y
blast crisis|blastic crisis|Y
triphenyltetrazolium chloride|2,3,5-triphenyltetrazolium chloride|Y
neurofibromatosis type 2|neurofibromatosis 2|Y
apolipoprotein AI|apolipoprotein A1|Y
xanthin|xanthosine|N
lateralisation index|laterality index|Y
Venezuelan equine encephalomyelitis|Venezuelan equine encephalitis virus|N
X-ray photoelectron spectrum|xray photoelectron spectroscopy|N
Streptococcus salivarius strain K12|Streptococcus salivarius K12|Y
ischemia reperfusion|ischemic reperfusion|Y
secreted aspartic proteinase|secreted aspartyl proteinase|Y
human adenovirus serotype 7|human adenovirus type 7|Y
Stern-Volmer quenching constant|Stern-Volmer constant|Y
American Society of Anaesthesiology physical status 4|American Society of Anesthesiologists physical status IV|Y
Trait Anxiety Inventory|Anxiety Inventory|N
branched-chain α-ketoacid dehydrogenase|branched-chain α-keto acid dehydrogenase complex|Y
dichlorotriazinylaminofluorescein|dichlortriazinyl aminofluorescein|Y
adaptive optics scanning laser ophthalmoscopy|adaptive optics scanning laser ophthalmoscope|Y
macrocreatine kinase type 1|macromolecular creatine kinase type 1|Y
B cell lymphocyte kinase|B lymphocyte kinase|Y
Lentinus edodes|Lentinula edodes|Y
hexamethylphosphoramide|hexamethylphosphoric triamide|Y
x-ray repair cross-complementing gene 1|x-ray cross-complementing gene 1|Y
gold sodium thiomalate|gold sodium aurothiomalate|Y
prostaglandin type E|prostaglandin E|Y
supplement|supplementary|N
spontaneous fibrillation|spontaneous fluctuation|N
pulmonary arterial systolic pressure|pulmonary artery systolic pressure|Y
human T-cell lymphotropic virus-I antibody|human T-cell lymphotropic virus type-I antibody|Y
computer assisted sperm analysis|computer-aided sperm analysis|Y
National Health Insurance|National Health Index|N
glyceryltrierucate|glyceroyl trierucate|Y
combination oral contraceptive|combined oral contraceptive|Y
frontal midline theta activity|frontal midline theta|Y
gammaglutamyltranspeptidase|gammaglutamyltransferase|Y
Equid herpesvirus 1|equine herpesvirus 1|Y
quantitative reverse transcriptase polymerase chain reaction assay|quantitative reverse transcription polymerase chain reaction assay|Y
metabotropic glutamate receptor 7|metabotropic glutamate receptor type 7|Y
sustained virologic responder|sustained virologic response|Y
American Society of Anesthesiologists physical status II|American Society of Anaesthesiology class II|Y
giant cell interstitial pneumonitis|giant cell interstitial pneumonia|Y
receptor protein tyrosine phosphatase κ|receptor-like protein tyrosine phosphatase κ|Y
guanylate cyclase-activating protein-1|guanylyl cyclase activating protein 1|Y
log reduction factor|logarithmic reduction factor|Y
aminopeptidase M|amino-peptidase M|Y
T cell receptor CD3 complex|T cell antigen receptor-CD3 complex|Y
human adenovirus type 41|human adenovirus 41|Y
beta-N-Methylamino-L-alanine|beta-methylamino-alanine|Y
keratoderma hereditarium mutilans|keratoderma hereditaria mutilans|Y
International Commission on Radiological Units and Measurements|International Commission on Radiation Units and Measurements|Y
ubiquitin carboxyterminal hydrolase L1|ubiquitin carboxy-terminal hydrolase L-1|Y
paradoxical sleep deprivation|partial sleep deprivation|N
B cell chronic lymphoid leukemia|B cell chronic lymphocytic leukemia|Y
Schedule for Affective Disorders and Schizophrenia Lifetime Version|Schedule of Affective Disorders and Schizophrenia-Lifetime Version|Y
hypothyroidism|hyperthyroidism|N
pseudo-exfoliation syndrome|pseudoexfoliation syndrome|Y
three dimensional ultrasound|three dimensional ultrasonography|Y
post transplantation lymphoproliferative disorders|post-transplantation lymphoproliferative disorder|Y
high voltage-activated|high-voltage-activated|Y
small intestine|small intestinal|Y
anti-tuberculosis|antituberculosis|Y
apolipoprotein E|apolipoprotein E4|N
peripheral artery tonometry|peripheral arterial tone|N
pancreatogastrostomy|pancreaticogastrostomy|Y
sitting diastolic blood pressure|supine diastolic blood pressure|N
killer cell immunoglobulinlike receptor|killer immunoglobulin receptor|Y
activating transcription factor 4|activating transcription factor-4|Y
matrix metalloproteinase 9|matrix metalloprotease 9|Y
phosphorylated cyclic AMP response element binding protein|phospho-cAMP response element binding protein|Y
Gibbs free energy|Gibbs energy|Y
microphthalmia transcription factor|microphthalmia-associated transcription factor|Y
bacterial complex|bacterial antigen complex|N
human adenovirus type 26|human adenovirus serotype 26|Y
telomerase-associated protein|telomerase-associated protein-1|Y
Wechsler Memory Scale-3rd Edition|Wechsler Memory Scale-Third Edition|Y
accelerated solvent extractor|accelerated solvent extraction|N
A disintegrin and metalloproteinase 13|A disintegrin and metalloprotease 13|Y
nephrocalcinosis|nephrocalcin|N
octadecylrhodamine B|octadecylrhodamine B chloride|Y
proliferating cellular nuclear antigen|proliferative cell nuclear antigen|Y
vanilloid receptor subtype 1|vanilloid receptor 1|Y
squamous carcinoma|sebaceous carcinoma|N
organophosphorus-induced delayed neuropathy|organophosphorus ester-induced delayed neurotoxicity|Y
prostate acid phosphatase|prostate specific acid phosphatase|Y
pulsed dye laser|pulsed-dye laser|Y
pulmonary artery-occluded pressure|pulmonary artery occlusion pressure|Y
randomly amplified polymorphic DNA analysis|random amplified polymorphic DNA analysis|Y
dideazatetrahydrofolic acid|dideazatetrahydrofolate|N
polyadenylate binding protein 2|polyA binding protein 2|Y
type 2 T helper cell|type 2 helper T cell|Y
American Society of Anaesthesiology grade I|American Society of Anesthesiologists Status I|Y
anti-matrix metalloproteinase-3 antibody|anti-matrix metallopeptidase 3 antibody|Y
staging laparotomy|staging laparoscopy|N
jugular venous plasma|jugular venous pulsation|N
fine needle aspiration cytology|fineneedle aspiration|Y
hypophysectomy|hypophysectomise|Y
normal rat kidney cell|normal rat kidney|N
jugular venous plasma|jugular venous pulse|N
electrothermal atomic absorption spectrometric|electro-thermal atomization atomic absorption spectrometry|Y
adenosine triphosphate sensitive potassium channel|adenosine triphosphate dependent potassium channel|Y
fractional shortening|functional shortening|N
ventilator acquired pneumonia|ventilator-associated pneumonia|Y
anti-cyclic citrullinated peptide antibody|anti-cyclic citrullinated peptide|Y
standardized ileal digestible|standardised ileal digestibility|Y
human adenovirus serotype B|human adenovirus type B|Y
computed tomographic coronary angiography|computed tomography coronary angiography|Y
surface enhanced Raman spectrometry|surface enhanced Raman scattering|Y
computer tomographic scan|computed tomographic scanning|Y
cannabinoid receptor 1|cannabinoid receptor type 1|Y
American Society of Anesthesiology Class III|American Society of Anesthesiologists Status 3|Y
esophageal squamous cell cancer|esophageal squamous cell carcinoma|Y
type II bone morphogenetic protein receptor|bone morphogenetic protein receptor type 2|Y
laser-induced interstitial thermo-therapy|laser interstitial thermal therapy|Y
nicotinamide adeninedinucleotide|oxidized nicotinamide adenine dinucleotide|N
vesicular stomatitis virus G|vesicular stomatitis virus glycoprotein G|Y
neurokinin1 receptor|neurokinin type 1 receptor|Y
respiratory related unit|respiration related unit|Y
fluid percussion brain injury|fluid percussion injury|Y
simian T lymphotropic virus type 3|simian T-cell lymphotropic virus type III|Y
cell adhesion molecule L1|L1 cell adhesion molecule|Y
classic anti-neutrophil cytoplasmic antibody|cytoplasmic antineutrophil cytoplasmic antibody|Y
glycosylphosphatidyl inositol linked|glycophosphatidyl inositol linked|Y
vibrating-sample magnetometer|vibrating-sample magnetometry|Y
American Society of Anesthesiology grade 2|American Society of Anaesthesiology status II|Y
mouse Leydig tumor cell|mouse Leydig tumor cell line 1|N
beta-melanocyte stimulating hormone|beta melanocyte-stimulating hormone|Y
cAMP dependent protein kinase|cyclic AMP dependent protein kinase|Y
leri weill dyschondrosteosis|Leri-Weill dyschondrosteosis|Y
Acinetobacter anitratus|Achromobacter anitratus|Y
random-amplified polymorphic DNA analysis|random-amplified polymorphic DNA|Y
frequency doubling technology perimetry|frequency doubling technology|Y
in-situ hybridization histochemistry|situ hybridization histochemistry|Y
Clinical Laboratory Standards Institute guideline|Clinical and Laboratory Standards Institute guideline|Y
tumor control dose|tumor control dose 50%|Y
DNA fragmentation factor|DNA fragmentation factor 45|N
fragile X mental retardation protein 1|fragile X mental retardation 1 protein|Y
proportional mortality ratios|proportionate morbidity ratio|N
intra-tracheal tube|intratracheal|N
GTP binding protein gamma subunit|G protein gamma subunit|Y
human adenovirus type 28|human adenovirus 28|Y
iron deficiency|immune deficiency|N
proton-induced X-ray emission|proton induced X-ray emission analysis|Y
bone morphogenetic protein|bone morphogenic protein|Y
transverse rectus abdominis musculocutaneous flap|transverse rectus abdominis muscle flap|Y
alanine-specific transfer RNA|alanine-specific tRNA|Y
micro-vascular endothelial cell|microvascular endothelial cell|Y
activating protein-1 binding|activation protein 1 binding|Y
energy dispersive spectrometer|energy dispersive spectrometry|Y
ventral intermediate nucleus|ventral intermediate|Y
rapid viral response|rapid virological response|Y
signal transducer and activator of transcription 3|signal transducer and activator of transcription-3|Y
28 item General Health Questionnaire|General Health Questionnaire 28|Y
non-ST elevation acute coronary syndrome|non-ST segment elevation acute coronary syndrome|Y
human T-cell lymphoma/leukemia virus type 1|human T cell leukemia virus type 1|Y
American Society of Anaesthesiology physical status II|American Society of Anaesthesiologists class II|Y
Wechsler Intelligence Scale for Children-Revised|Wechsler Intelligence Scale for Children Revised|Y
liquid chromatographic|liquidchromatography|Y
embryonic carcinoma cell line|embryonal carcinoma cell line|Y
uridinetriphosphate|uridine-5'-triphosphate|Y
human adenovirus serotype 38|human adenovirus type 38|Y
ubiquitin carboxyterminal hydrolase L1|ubiquitin carboxyl-terminal hydrolase-L1|Y
magnetic resonance spectroscopy|phosphorus 31 magnetic resonance spectroscopy|N
tracheoinnominate fistula|tracheoinnominate artery fistula|Y
intra-cytoplasmic sperm injection|intracytoplasmic sperm injection|Y
American Society of Anaesthesiology status IV|American Society of Anesthesiologists Status IV|Y
intrauterine transfusion|intra-uterine transfusion|Y
rat basophilic leukemia 2H3 cell line|rat basophilic leukemia cell|N
mean blood velocity|mean velocity|N
chromodomain helicase DNA binding protein 1-like|chromodomain helicase/ATPase DNA binding protein 1-like|Y
pulmonary intersticial emphysema|perinatal pulmonary interstitial emphysema|N
American Society of Anaesthesiologists Class IV|American Society of Anesthesiology grade 4|Y
interpregnancy interval|interpeak interval|N
eukaryotic translation elongation factor 1alpha|eucaryotic elongation factor 1alpha|Y
asparaginylendopeptidase|asparagine endopeptidase|Y
American Society of Anesthesiology Grade 1|American Society of Anesthesiologists Grade 1|Y
nordihydroguaiaretic acid|nor-dihydroguaiaretic acid|Y
video-assisted thoracoscopic surgery|video-assisted thoracic surgical|Y
transient receptor potential vanilloid 3|transient receptor potential vanilloid type 3|Y
phosphatidylinositol specific phospholipase C|phosphoinositide specific phospholipase C|Y
phospholipase A1|phospholipase A|N
orexin type 2 receptor|orexin2 receptor|Y
periarterial nerve stimulation|peripheral nerve stimulation|N
botulinum neurotoxin A|botulinum neurotoxin type A|Y
Epstein-Barr nuclear antigen|Epstein-Barr virus nuclear antigen|Y
cyclic guanosinemonophosphate|cyclic guanosine 3',5'-monophosphate|Y
cytopathogenic|cytopathic|Y
phosphatidylinositide|phosphatidylinositol|Y
instalment|instant|N
light harvesting chlorophyll a/b binding protein II|light harvesting chlorophyll protein II|Y
human adenovirus type 39|human adenovirus serotype 39|Y
anti-oestrogen binding site|antiestrogen binding site|Y
white man|white male|Y
electrothermal atomic absorption spectrometry|electrothermal atomic absorption spectroscopy|Y
nitrate reductase assay|nitrate reductase activity|N
computed tomography dose index volume|computed tomographic dose index volume|Y
radioactive iodinated serum albumin|radio-iodinated serum albumin|Y
aminoterminal pro-brain-type natriuretic peptide|amino-terminal pro-B-type natriuretic peptide|Y
pulmonary artery catheterisation|pulmonary artery catheter|N
thyroid hormone response element|thyroid response element|Y
high-resolution computed tomography|high resolution computerized tomography|Y
ventrolateral medullary surface|ventral medullary surface|N
perfluoro-octanoic acid|perfluorooctanoic acid|Y
radiation induced fibrosarcoma|radiation-induced fibrosarcoma|Y
tubulointerstitial fibrosis|tubulo-interstitial fibrosis|Y
American Society of Anaesthesiology status IV|American Society of Anesthesiologists physical status IV|Y
acidic sphingomyelinase|acid sphingomyelinase|Y
liver cell membrane autoantibody|liver membrane autoantibody|Y
widow|widower|N
special care nursery|special care nursing|N
uroporphyrinogen synthase|uroporphyrinogen I synthetase|Y
Golgi endoplasmic reticulum lysosome|Golgi-associated endoplasmic-reticulum-lysosome|Y
Newly Independent States|New Independent States|Y
interleukin-6 receptor α chain|interleukin-6 receptor alpha|Y
eukaryotic elongation factor 1A|eukaryotic translation elongation factor 1A|Y
matrix metalloproteinase 3|matrix metalloprotease 3|Y
occlusion derived virus|occlusion-derived virion|Y
dopamine responsive dystonia|dopa responsive dystonia|Y
citrated platelet-rich plasma|concentrated platelet rich plasma|N
obstetric brachial plexus palsy|brachial plexus palsy|N
transmission electron microscope|transmission electron microscopic|Y
non-contact tonometry|non-contact tonometer|Y
Toll-interleukin-1 receptor domain-containing adaptor inducing IFN-beta|toll-interleukin 1 receptor domain-containing adapter-inducing interferon-beta|Y
computerized axial tomography scan|computed tomography scan|Y
procollagen III peptide|procollagen type III peptide|Y
killer immunoglobulin-like receptor|killer cell immunoglobulinlike receptor|Y
pulmonary artery|pulmonary arterial|Y
relapsing-remitting experimental autoimmune encephalomyelitis|relapsing remitting experimental allergic encephalomyelitis|Y
Choristoneura fumiferana nuclear polyhedrosis virus|Choristoneura fumiferana nucleopolyhedrovirus|Y
immuneglobulin|immunoglobulin|Y
nuclear spin lattice relaxation rate|nuclear spin lattice relaxation|N
single cell gel electrophoresis|single cell gel electrophoresis assay|Y
pulmonary arterial pressure|pulmonary artery pressure|Y
tissue culture infective dose|50% tissue culture infectious dose|Y
thymidine monophosphate|thiamine monophosphate|N
B cell precursor acute lymphoblastic leukemia|precursor B acute lymphoblastic leukemia|Y
gamma-amino butyric acid type B receptor|gamma-amino butyric acidB receptor|Y
human papillomavirus type 16 E5|human papillomavirus type 16 E5 protein|Y
transient receptor potential vanilloid type 1|transient receptor potential vanilloid 1|Y
emergency medical technician|emergency medical team|N
auto-immune polyendocrinopathy-candidiasis-ectodermal dystrophy|autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy syndrome|Y
angiotensin-converting enzyme 2|angiotensin-converting enzyme type 2|Y
anti-CTLA-4 Ab|anti-CTLA-4 mAb|Y
total internal reflection fluorescence microscopy|total internal reflection fluorescence microscope|Y
type-β transforming growth factor|transforming growth factor-beta|Y
quantitative electroencephalography|quantitative electroencephalographic|Y
Anatomical Therapeutic Chemical Classification|Anatomical Therapeutic Chemical Classification System|Y
volume computed tomographic dose index|volume weighted computed tomography dose index|Y
dengue virus 1|dengue 1 virus|Y
cardiovascular|cardio-vascular|Y
metabotropic glutamate receptor subtype 4|metabotropic glutamate receptor type 4|Y
histidine-proline-rich glycoprotein|Histidine-proline-rich glycoprotein|Y
x linked severe combined immunodeficiency|X-linked severe combined immunodeficiency disease|Y
murine Leydig tumor cell|murine Leydig tumor cell line 1|N
N terminal probrain natriuretic peptide|N-terminal pro-brain type natriuretic peptide|Y
cyclin dependent kinase inhibitor 1B|cyclin dependent kinase inhibitor p27|Y
rexinoid receptor|retinoic acid receptor|N
Ebola virus subtype Reston|Ebola virus Reston|Y
American Society of Anaesthesiologists Class IV|American Society of Anesthesiologists Status IV|Y
total oxyradical scavenging capacity|Total Oxyradical Scavenging Capacity|Y
Canavalia ensiformis|Concanavalia ensiformis|Y
continuously stirred tank reactor|continuous stirred-tank reactor|Y
systemic artery pressure|systemic arterial pressure|Y
tetrachlorodibenzofuran|2,3,7,8-tetrachlorodibenzofuran|Y
multi-drug resistance protein 1|multidrug resistance-associated protein 1|Y
toluene-o-xylene monooxygenase|toluene/ortho-xylene monooxygenase|Y
cytochrome oxidase 1|cytochrome c oxidase 1|Y
guanylatecyclase C|guanylylcyclase C|Y
ryanodine receptor type 2|ryanodine receptor 2|Y
reverse transcription polymerase chain reaction analysis|reverse transcriptase polymerase chain reaction analysis|Y
medullary thyroid carcinoma|medullary thyroid cancer|Y
upper motoneuron|upper motor neuron|Y
apoptosis signal regulating kinase 1|Apoptosis signal-regulating kinase 1|Y
human diploid cell rabies vaccine|human diploid cell vaccine|Y
multi-drug resistant|multi-drug resistance|Y
Brief Michigan Alcohol Screening Test|brief michigan alcoholism screening test|Y
vasopressin V2 receptor agonist|vasopressin 2 receptor agonist|Y
dihexanoylphosphatidylcholine|dihexadecylphosphatidylcholine|N
porcine pancreas lipase|porcine pancreatic lipase|Y
Mini Mental State Evaluation|Mini Mental Status Examination|Y
feminiser|feminine|N
adenylyl-imido diphosphate|5'-adenylylimido-diphosphate|Y
prostaglandin endoperoxide synthase|prostaglandin endoperoxide synthetase|Y
endothelial constitutive nitric oxide synthase|endothelial cell nitric oxide synthase|Y
tertbutylhydroperoxide|tertiary butylhydroperoxide|Y
adenylate cyclase 8|adenylylcyclase 8|Y
computed tomographic pulmonary angiography|computed tomography pulmonary angiography|Y
Fellow of the Royal College of Physicians of Ireland|Fellow of the Royal College of Physicians in Ireland|Y
dopamine D2 receptor|dopamine 2 receptor|Y
anti-human immunodeficiency virus 1 activity|anti-human immunodeficiency virus type 1 activity|Y
endothelial nitric oxide synthase|endothelial cell nitric oxide synthase|Y
excision repair cross complementing-4|excision repair cross complementation group 4|Y
lympho-vascular invasion|lymphatic vascular invasion|Y
globus pallidus internus|globus pallidus internalis|Y
proportional mortality ratios|proportionate mortality ratio|Y
electrothermal atomic absorption spectrophotometry|electrothermal atomic absorption spectroscopy|Y
transcriptional enhancer factor 1|transcription enhancer factor 1|Y
Na+/H+ exchanger|Na+/H+ exchangers|Y
oxidized frying oil|oxidised frying oil|Y
proprotein convertase subtilisin kexin 9|proprotein convertase subtilisin kexin type 9|Y
hexamethylpropyleneamineoxime|99mTc-hexamethylpropyleneamineoxime|N
anti-tuberculous therapy|anti-tuberculosis therapy|Y
rapid plasmin reagin|rapid plasma reagin test|Y
computed tomographic arteriography|computed tomographic angiography|Y
forkhead box class O2|forkhead box O2|Y
pro-collagen type III peptide|procollagen III peptide|Y
translesion DNA synthesis|translesion synthesis|Y
paraminohippuric acid|para aminohippuric acid|Y
fragile X mental retardation 1 gene|fragile X mental retardation 1|N
supraomohyoid neck dissection|supra-omohyoid neck dissection|Y
insulin-like growth factor receptor type II|insulinlike growth factor 2 receptor|Y
50% tumor control dose|tumor control dose 50%|Y
American Society of Anaesthesiology class V|American Society of Anesthesiologists status 5|Y
hereditary angioneurotic edema|hereditary angio-neurotic œdema|Y
high resolution transmission electron microscopic|high-resolution transmission electron microscope|Y
Australian Medical Association|American Medical Association|N
protein phosphatase 1|protein phosphatase type 1|Y
gamma aminobutyric acidA|gamma-aminobutyric acidA|Y
desoxypyridoxine|deoxypyridinoline|N
maximal M wave|maximum M wave|Y
N-terminal-proB-type natriuretic peptide|N-terminal pro-brain-type natriuretic peptide|Y
Janus kinase|Janus kinase 2|N
carbapenem resistant Acinetobacter baumannii|carbapenem-resistant A. baumannii|Y
American Society of Anesthesiologists physical status 1|American Society of Anesthesiologists Status I|Y
complement component C4b binding protein|complement C4b binding protein|Y
erythroblast transformation specific transcription factor|E26 transformation specific transcription factor|Y
human chorionic gonadotropin β-subunit|human chorionic gonadotropin beta|Y
grade 2 cervical intraepithelial neoplasia|cervical intraepithelial neoplasia 2|Y
ultrasound biomicroscope|ultrasound biomicroscopy|Y
Beck Depression Inventory 2|Beck Depression Inventory 2nd edition|Y
pulmonary artery occlusion|pulmonary arterial occlusion|Y
mean blood velocity|mean flow velocity|N
Sesbania mosaic virus|soybean mosaic virus|N
human adenovirus type 44|human adenovirus serotype 44|Y
cyclic guanosine 3',5'-monophosphate|cyclic guanosylmonophosphate|Y
attenuated total reflection-Fourier transform infrared spectroscopy|attenuated total reflectance-Fourier transform infra red spectroscopy|Y
a disintegrin and metalloprotease-33|a disintegrin and metalloproteinase 33|Y
standard dose|standard diet|N
Disease Activity Score in 28 joints|Disease Activity Score 28|Y
gastro-duodenal ulcer|gastroduodenal ulcer|Y
insulin-like growth factor-II messenger RNA-binding protein-2|insulin-like growth factor-II mRNA-binding protein-2|Y
monoamino oxidase A|monoamineoxidase|N
American Society of Anaesthesiology Grade V|American Society of Anesthesiologists status 5|Y
rostral ventral medulla|rostral ventromedial medulla|N
gonadotrophin surge attenuating factor|gonadotrophin surge-attenuating factor|Y
interferon producing cell|interferon-α producing cell|N
Psychotria hawaiiensis|Pichia hawaiiensis|N
N-acetylserotonin O-methyl transferase|acetylserotonin methyltransferase|Y
vasoactive intestinal polypeptide immunoreactivity|vasoactive intestinal polypeptide immunoreactive|Y
General Health Questionnaire|30 item General Health Questionnaire|Y
Milled wood lignin|milled wood lignin|Y
interleukin 1 receptor type II|interleukin 1 receptor 2|Y
cyclobutyl pyrimidine dimer|cyclobutane pyrimidine dimer|Y
obstructive airway disease|obliterative airway disease|N
clinical target volume|clinical tumor volume|Y
estrogen receptor α knockout|oestrogen receptor-α knockout mouse|Y
American Society of Anesthesiologists Status 1|American Society of Anesthesiologists physical status I|Y
upstream repression sequence 1|upstream repression sequence|Y
IL-13 receptor alpha 1 chain|IL-13 receptor alpha 1|Y
American Optometric Association|American Orthopedic Association|N
major histocompatibility complex class I protein|major histocompatability complex class 1|Y
6-keto-prostaglandin F1 alpha|prostaglandin F1alpha|N
isolated perfused rat livers|isolated perfused rat liver|Y
optical density|optic density|Y
p-nitroanisole|p-nitroaniline|N
transient receptor potential channel 1|transient receptor potential channel-related protein 1|N
planning target volume|planning treatment volume|Y
Nociceptin/orphanin FQ|nociceptin/orphanin FQ|Y
ventral posteromedial thalamic nucleus|ventral posterior medial nucleus|Y
respiratory disturbance index|respiratory distress index|Y
individual participant data|individual patient data|Y
transient receptor potential channel 3|transient receptor potential canonical type 3|Y
computed tomography colonography|computed-tomographic colonography|Y
A disintegrin and metalloproteinase-13|a disintegrin and metalloprotease-13|Y
external beam radiation therapy|external beam radiotherapy|Y
end stage liver disease|endstage lung disease|N
sine oculis homeobox homolog 3|sine oculis homeobox 3|Y
transmembrane domain 6|sixth transmembrane domain|Y
interleukin 3 receptor α-chain|interleukin 3 receptor alpha|Y
p-chloromercuriphenylsulfonic acid|para-chloromercuriphenylsulphonic acid|Y
dengue 1 virus|dengue virus 1|Y
hereditary breast/ovarian cancer syndrome|hereditary breast and ovarian cancer syndrome|Y
American Society of Anaesthesiologists status 3|American Society of Anaesthesiologists Class III|Y
orthoiodohippurate|131I-orthoiodohippurate|N
unfolded protein response pathway|unfolded protein response|Y
facioscapulohumeral muscular dystrophy|facio-scapulo-humeral dystrophy|Y
glutamic acid decarboxylase|glutamate decarboxylase|Y
aortic valve regurgitation|aortic regurgitation|Y
human umbilical vein endothelial|human umbilical vein endothelium|Y
Zygowilliopsis californica|Zygowillopsis californica|Y
dengue hemorrhagic fever|dengue hæmorrhagic fever|Y
internal transcribed spacer region|internally transcribed spacer|Y
American Society of Anesthesiologists Class 1|American Society of Anaesthesiologists status I|Y
urinary output|urine output|Y
survival fraction|surviving fraction|Y
upstream activator sequence 2|upstream activating sequence 2|Y
autoimmune polyendocrine syndrome type 2|autoimmune polyglandular syndrome type 2|Y
maximal power output|maximum power output|Y
class II-associated invariant chain-derived peptide|class II-associated invariant chain peptide|Y
total frequency|temporal frequency|N
Recommended Nutrient Intake|recommended nutrient intake|Y
L-phenylalanine mustard|l-phenylalanine mustard|Y
chronic aggressive hepatitis|chronic active hepatitis|Y
tetratricopeptide repeat|tetratricopeptide|Y
genetic diversity|gene diversity|Y
platelet-derived growth factor B|platelet-derived growth factor B-chain|Y
human growth hormone receptor|human growth hormone recombinant|N
instrument|instrumental|N
insulin-like growth factor II messenger RNA binding protein 2|insulin-like growth factor-II mRNA-binding protein-2|Y
lower respiratory illness|lower respiratory tract illness|Y
jugular venous pulse|jugular vein pulse|Y
peroxyacetic acid|phenylacetic acid|N
guanylate cyclase-activating protein 1|Guanylate cyclase-activating protein 1|Y
tissue plasminogen activator antigen|tissue-type plasminogen activator-antigen|Y
urinary stress incontinence|urodynamic stress incontinence|N
myosin II heavy chain kinase B|myosin heavy chain kinase B|Y
glucuronic acid|glucaric acid|N
pro-brain natriuretic peptide level|pro-B-type natriuretic peptide level|Y
umbilical cord blood transplantation|unrelated cord blood transplantation|N
plasmin inhibitor plasmin complex|α2 plasmin inhibitor/plasmin complex|Y
tryptophan|L-tryptophan|Y
chromophoric dissolved organic matter|colorued dissolved organic matter|Y
infrared multiple photon dissociation spectroscopy|infrared multiphoton dissociation spectroscopy|Y
pattern electroretinogram|pattern electroretinography|Y
liquid crystal polymer|liquid crystalline polymer|Y
A disintegrin and metalloproteinase-3|A disintegrin and metalloprotease 3|Y
fluorescent-activated cell-sorting|fluorescence-activated cell scanning|Y
American Endodontic Society|American Endocrine Society|N
corneal epithelial cell|colonic epithelial cell|N
betaglycerophosphate|beta-glycerophosphatase|N
electrical field stimulation|electric field stimulation|Y
airway pressure|mean airway pressure|N
continuous veno-venous haemodialysis|continuous venovenous hemodiafiltration|N
radium|radius|N
Assisted reproductive technologies|assisted reproductive technology|Y
lymphocyte function-associated antigen-3|leukocyte-function-associated antigen-3|Y
stimulatory G protein alpha subunit|stimulatory G protein alpha|Y
longissimus thoracis muscle|longissimus thoracis|Y
mitogen-activated protein kinase kinase-3|mitogen-activated protein kinase kinase 3|Y
alpha-methyl-p-tyrosine|alpha-methyl-paratyrosine|Y
broncho-alveolar lavage fluid|bronchoalveolar lavage fluid|Y
hyperacute xenograft rejection|hyperacute xenogeneic rejection|Y
electro-thermal atomic absorption spectrometry|electrothermal atomic absorption spectroscopy|Y
oestrogen receptor α knockout mouse|estrogen receptor alpha knockout|Y
positive slow wave|positive sharp wave|N
heavy chain joining gene|heavy chain joining|N
dog unit|dose unit|N
lipovitellin|lecithovitellin|Y
physio-therapist|physiotherapy|N
human adenovirus serotype 22|human adenovirus type 22|Y
receptor-like protein tyrosine phosphatase α|receptor protein-tyrosine phosphatase-α|Y
limb girdle muscular dystrophy type 2B|muscular dystrophy type 2B|Y
receptor protein tyrosine phosphatase-ψ|receptor-like protein-tyrosine phosphatase-ψ|Y
indirect immunofluorescent antibody test|indirect fluorescence antibody test|Y
Reye's disease|Reiters disease|N
Drawida japonica|Draba japonica|N
routine electroencephalogram|resting electroencephalogram|N
American Society of Anaesthesiology Grade V|American Society of Anesthesiologists Grade V|Y
radiocontrast medium|radiographic contrast medium|Y
objective structured teaching evaluation|objective structured teaching examination|Y
