abbreviation	sense	variation	CUI	frequency
q	q wave (ecg)	Q_1	c1305738	0.004
q	22q (chromosome)	q_1	c1521100	0.003
q	q wave	Q_1	c1305738	0.01
q12	every twelve	Q12_42|q12_6	c0585327	1
q12h	quaque 12 hours (every 12 hours)	q12h_10	c0585327	1
q1h	every 1 hour	q1h_9|Q1h_1	c0558292	1
q2	every two hours	q2_4	c0585322	1
q24h	every 24 hours	q24h_9|Q24H_1	c1275548	1
q2h	every two hours	q2h_10	c0585322	1
q3h	every 3 hours	q3h_8|Q3H_1|Q3h_1	c0585323	1
q4	every four	q4_7|Q4_2	c0585324	0.998
q4	every four hours	q4_1	c0585324	0.002
q48h	every 48 hours	q48h_9|Q48H_1	c1275553	1
q4h	quaque 4 hours (every 4 hours)	q4h_10	c0585324	1
q4hr	every 4 hours	Q4hr_1|Q4HR_1|q4hr_5	c0585324	1
q6	every six	q6_52|Q6_12	c0585325	1
q6h	quaque 6 hours (every 6 hours)	q6h_11	c0585325	1
q8h	every 8 hours	q8h_9|Q8H_1|Q8h_1	c0585326	1
qam	every morning	qam_11|QAM_1|q.a.m._2|q.a.m_4|qAM_1	c0585329	1
qbedtime	every bedtime	qbedtime_10|Qbedtime_1	c1275563	1
qd	quaque die (every day)	q.d_1|QD_2|qd_14|qD_1|Qd_1	c0332173	1
qday	quaque die (every day)	qday_12	c0332173	1
qhs	every night	qhs_16|q.h.s_1|q.h.s._2|QHS_1	c1275563	1
qid	four times daily	q.i.d._4|qid_11|q.i.d_2|QID_3	c0585291	1
qod	every other day	qod_13|QOD_6|Qod_1	c0558287	1
qohs	every other bedtime	qohs_10	c1275562	1
qpm	every afternoon	q.p.m_3|qPM_1|qpm_15	c0585330	1
qrs	qrs complex (ekg)	QRS_20	c0429097	1
qs	quantity sufficient	QS_5|qs_1	c1883214	0.981
qs	systemic blood flow	Qs_1	c0678860	0.019
qt	qt interval (ecg)	QT_15	c0429028	1
qtc	qt corrected for heart rate	QTc_10|QTC_1	c0855331	1
qweek	every week	qweek_20	c0332174	1
r	right	r_1|R_15	c0205090	0.9071
r	resistant	R_3	c0332325	0.0573
r	recombinant	R_2	c1514798	0.0149
r	rejection	R_1	c0035015	0.0057
r	r wave	R_1	c0429091	0.008
r	r wave (ecg)	R_1	c0429091	0.0023
r	respiratory rate	R_1	c0231832	0.0046
r_o	rule out	r/o_141|R/O_1	c0332196	0.804
r_o	risk of	r/o_2|R/O_2	c0035647	0.196
r_t	related to	R/T_2|r/t_18	c1883351|c0439849	1
ra	room air	RA_13	c2709070	0.9
ra	right atrium	RA_5	c1269890	0.062
ra	right atrial	RA_1	c0225844	0.036
ra	right arm	RA_1	c1268255	0.002
rbbb	right bundle branch block	RBBB_17	c0085615	1
rbc	red blood cell	RBC_214	c0014792	1
rbcs	red blood cells	RBCs_18|rbcs_1|RBCS_1	c0014792	1
rca	right coronary artery	RCA_20	c0226042	1
rd	road	Rd_2	c0442650	1
rdw	red blood cell distribution width	RDW_6	c0427460	1
rdwsd	red blood cell distribution width standard deviation	RDWSD_4	c0427460|c0871420	1
re	regarding	re_9|RE_2|Re_1	null	0.996
re	repeated	RE_1	c0205341	0.004
rec	recommend	rec_14|Rec_3	c0034866	0.2182
rec	recover	rec_2	c0521108	0.7818
recs	recommendations	recs_17|Recs_1	c0034866	1
reg	regular	Reg_2|reg_12	c0205272	0.996
reg	regional	Reg_1	c0205147	0.002
reg	registration	reg_1	c1514821	0.002
resp	respiratory	Resp_14|RESP_5|resp_1	c0521346	1
retic	reticulocyte	retic_51|Retic_3	c0035286	0.976
retic	reticulocyte count	retic_1	c1318442	0.024
rf	radiofrequency	RF_7	c2347883	0.5564
rf	refill	RF_2|rf_3	c0807726	0.1115
rf	rheumatoid factor	RF_5	c0035448	0.3295
rf	renal failure	RF_1	c0035078	0.0026
rh	rhesus factor	Rh_5|rh_1|RH_5	c0302050	0.8571
rh	right handed	RH_6	c0344333	0.1081
rh	right heart	RH_3	c0225808	0.0251
rh	rhesus	Rh_1	c0302050	0.0097
rhc	right heart catheterization	RHC_20	c0189896	1
rle	right lower extremity	RLE_19|rle_1	c0230415	1
rll	right lower lobe	RLL_21	c1261075	1
rlq	right lower quadrant	RLQ_20	c0439736	1
rm	room	Rm_4|rm_3	c1547703	0.9898
rm	right middle	RM_2	c0444598|c0035621	0.0102
rml	right middle lobe	RML_18	c0225757	1
rn	registered nurse	RN_7|R.N_6|rn_2	c0687673	0.998
rn	rhythm normal	rn_1	c0231843	0.002
rn-bc	registered nurse-board certified	RN-BC_7	c0687673	1
rns	registered nurses	RNs_3	c0687673	1
rom	range of motion	ROM_8|rom_1	c2607871	0.3643
rom	rupture of membranes	ROM_8	c0948106	0.6357
rop	retinopathy of prematurity	ROP_15	c0035344	1
ros	review of systems	ROS_13	c0489633	1
rpr	rapid plasma reagin	RPR_10	c1254816	0.998
rpr	repair	rpr_1	c0374711	0.002
rr	respiratory rate	RR_7	c0231832	0.954
rr	regular rhythm	RR_4	c0436766	0.035
rr	red reflex	RR_1	c0278244	0.011
rrr	regular rate and rhythm	RRR._1|RRR_9|rrr_1	null	1
rsv	respiratory syncytial virus	RSV_17	c0035236	1
rt	right	rt_7|Rt_10|rt._1|Rt._1|RT_2	c0205090	0.2568
rt	respiratory therapy	rt_1|RT_1	c0035239	0.0562
rt	radiotherapy	Rt_1	c0034619	0.008
rt	radiation therapy	RT_1	c0034619	0.679
rtc	return to clinic	RTC_20	c0332156|c0002424	1
rue	right upper extremity	RUE_23	c0230329	1
rul	right upper lobe	RUL_24	c1261074	1
ruq	right upper quadrant	RUQ_20	c0439734	1
rus	renal ultrasonography	RUS_20	c1660759	1
rv	right ventricle	RV_15	c1269891	0.295
rv	right ventricular	RV_8	c0225883	0.705
rvot	right ventricular outflow tract	RVOT_20	c1305586	1
rvr	rapid ventricular response	RVR_14|rvr_1	c0748243	1
rx	prescription	rx_5|Rx_10|RX_3	c1521941	1
s	sensitive	S_4	c0332324	0.9394
s	soft	s_1	c0205358	0.0606
s1	first heart sound	S1_5|s1_1	c0232223	0.126
s1	sacral disc 1	S1_5	c1305244	0.874
s2	s2 (heart sound)	S2_9	c0232230	1
s3	s3 (heart sound)	S3_9	c0232237	0.9869
s3	third sacral vertebra	S3_1	c0223600	0.0131
s4	4th heart sound	S4_9	c0232240	0.9959
s4	4th sacral vertebra	S4_1	c0223601	0.0041
s_p	status post	S/P_1|s/p_18|S/p_1	c0231290	1
s_s	signs or symptoms	s/s_121|S/S_1	c0037088	0.7174
s_s	sliding scale	s/s_5|S/S_1	c2937251	0.2826
sah	subarachnoid hemorrhage	SAH_14	c0038525	1
sats	saturation	Sats_4|sats_1131	c0678572	0.605
sats	saturday	sats_1	c0585030	0.395
sbo	small bowel obstruction	SBO_19|sbo_1	c0235329	1
sbp	systolic blood pressure	SBP_9|sbp_1	c0871470	0.937
sbp	spontaneous bacterial peritonitis	SBP_10	c0275551	0.063
sc	subcutaneous	SC_9|sc_4|Sc_1	c0443315	0.4807
sc	subclavian	SC_4|sc_2	c0589488	0.0669
sc	sickle cell	SC_4|Sc_1	c0221283	0.2181
sc	sternoclavicular joint	SC_3	c0038291	0.2262
sc	subcostal	SC_1	c0442184	0.002
sc	subclavicular	SC_1	c0589488	0.0061
scc	squamous cell carcinoma	scc_1|SCC_14|.SCC_2	c0007137	1
sct	stem cell transplantation	SCT_16|sct_2|Sct_2	c1504389	1
sdh	subdural hematoma	sdh_1|SDH_14	c0018946	1
sed	sedimentation	Sed_2|SED_4|sed_4	c0597428	1
sem	systolic ejection murmur	SEM_18|sem_2	c0694547	1
sgot	serum glutamic oxalacetic transaminase	sgot_1|SGOT_9	c0004002	1
sgpt	serum glutamic pyruvic transaminase	SGPT_10	c0001899	1
si	suicidal ideation	SI_13|si_2	c0424000	0.8298
si	sacroiliac	SI_3	c0555898	0.1196
si	sign	si_1	c0037088	0.0037
si	signs	si_1	c0422819	0.0469
siadh	syndrome of inappropriate antidiuretic hormone	SIADH_19	c0021141	1
sicu	surgical intensive care unit	SICU_18	c1690590	1
sl	sublingual	sl_6|SL_6	c0026638	0.9456
sl	slight	sl._11|sl_4	c2937276	0.0544
sle	systemic lupus erythematosus	SLE_24	c0024141	1
snf	skilled nursing facility	SNF_19|snf_1	c0037265	1
sob	shortness of breath	sob_1|SOB_18	c0013404	1
spy	spray	spy_9|SPY_1	c2003858	1
sq	subcutaneous	sq_9|SQ_10	c0443315	0.863
sq	squirt	sq_1	null	0.007
sq	square	sq_1	c0205120	0.13
sr	sustained release	sr_13|s.r_2|SR_2	c1710261	0.9909
sr	senior	Sr_1	c1705825	0.002
sr	sinus rhythm	sr_1	c0232201	0.0071
ss	sickle cell	SS_6	c0221283	0.5912
ss	sliding scale	ss_1|SS_3	c2937251	0.3702
ss	serosanguinous	ss_2	c0439684	0.0235
ss	sleep study	SS_1	c1321597	0.0028
ss	symptom score	SS_1	c1998280	0.0124
ssc	similac special care	SSC_11	c3196396	1
ssd	silver sulfadiazine	SSD_12|ssd_5	c0037134	1
ssi	sliding scale insulin	ssi_5|SSI_13	c0557977	0.977
ssi	social security insurance	ssi_1|SSI_1	c0037435	0.023
sss	sick sinus syndrome	SSS_2	c0037052	1
st	st (ekg)	ST_4	c0429029	0.0441
st	speech therapy	ST_2	c0037831	0.0152
st	start	st_2	c0439659	0.9149
st	saint	St_1	c0242823	0.0258
stat	immediate	stat_21|STAT_1	c0205253	1
stemi	st elevation myocardial infarction	STEMI_20	c1536220	1
steri	sterile	steri_1	c0232920	1
stim	stimulation	stim_16	c1292856	0.8089
stim	stimulated	stim_1	null	0.1868
stim	stimulate	stim_1	null	0.0042
str	strength	str_10	c0808080	1
stsg	split thickness skin graft	stsg_5|Stsg_1|STSG_17	c0439061	1
subcu	subcutaneous	subcu_12|Subcu_1	c0443315	1
subq	subcutaneous	subQ_3|Subq_1|SubQ_3|subq_17	c0443315	1
supp	suppository	supp_15|Supp_1|SUPP_1|supp._1	c0038854	1
susp	suspension	susp_6|Susp_5	c0038960	1
sust	sustained	sust_2|Sust_5	c0443318	1
svc	superior vena cava	SVC_19	c1269023	0.9971
svc	service	svc_1	c0557854	0.0029
svd	spontaneous vaginal delivery	SVD_17|svd_1	c0269694	1
svg	saphenous vein graft	SVG_20	c0729538	1
svt	supraventricular tachycardia	SVT_20	c0039240	1
sw	social work	SW_15	c0037441	0.9137
sw	swish	sw_1|SW_2	c1699290	0.0792
sw	slow wave	SW_1	c0858603	0.007
sx	symptoms	Sx_2|sx_15	c1457887	0.981
sx	suction	sx_2	c0038638	0.019
sz	seizure	SZ_1|sz_13|Sz_3	c0036572	1
t1	t1 (first thoracic vertebra)	T1_5	c0459933	0.134
t1	one child to term	T1_4	c0033150	0.841
t1	"t1 (size, tumor staging)"	T1_2	c0475372	0.025
t2	t2 (thoracic vertebra 2)	T2_6	c0459936	0.998
t2	type 2	T2_1	c0441730	0.002
t3	third thoracic vertebra	T3_5	c0459952	0.3015
t3	tumor size 3	T3_2	c0475374	0.0393
t3	triiodothyronine	T3_2	c0041014	0.6517
t3	tylenol #3	T3_1	c0876202	0.0037
t3	total 3 children	T3_1	c0233072	0.0037
t4	thyroxine	T4_7	c0040165	0.431
t4	t4 (fourth thoracic vertebra)	T4_3	c0459951	0.569
t7	7th thoracic vertebra	T7_10	c0459947	1
tab	tablet	Tab_3|tab_16	c0039225	1
tachy	tachycardia	tachy_11	c0039231	0.425
tachy	tachycardic	tachy_9	c0039231	0.575
tb	tuberculosis	tb_3|.TB_1|Tb_1|TB_14	c0041296	0.9564
tb	total bilirubin	TB_1	c0368753	0.0045
tb	tablet	tb_1	c0039225	0.0391
tbil	total bilirubin	TBil_7|TBIL_2	c0005437	1
tbsa	total body surface area	tbsa_4|TBSA_14	c0005902	1
tc	current temperature	Tc_4	c0005903|c0039476|c0521116	0.4418
tc	trach collar	TC._2|tc_1	null	0.0099
tc	tenncare	TC_3	null	0.4253
tc	total cholesterol	TC_3	c0543421	0.1231
td	thermodilution	TD_2	c0039807	0.8462
td	time dictated	TD_1	c0040223|c1609990	0.1538
tee	transesophageal echocardiogram	TEE_154|Tee_1	c0206054	1
teis	tennessee's early intervention system	TEIS_10	null	1
temp-max	maximum temperature	Temp-max_1	c2705384	1
tf	tube feeding	TF_19|tf_1	c0041281	1
tfts	thyroid function tests	TFTs_17|tfts_1	c0040130	1
tia	transient ischemic attack	TIA_24	c0007787	1
tibc	total iron binding capacity	TIBC_10	c2229883	1
tid	three times daily	TID_4|tid_14|t.i.d_2	c0556984	1
timi	thrombolysis in myocardial infarction	TIMI_10	c3272266	1
tlc	triple lumen catheter	TLC_14|tlc_1	c1301750	0.9003
tlc	total lung capacity	TLC_4	c0040509	0.0997
tlso	thoracolumbarsacral orthosis	TLSO_10	c2092417	1
tm	tympanic membrane	TM_10	c1268971	0.696
tm	maximal temperature	Tm_6|TM_1	c0039476|c0205289	0.29
tm	trimester	TM_1	c0032982	0.002
tm	trademark	tm_1	c0282291	0.008
tm	thyromegaly	TM_1	c0018021	0.004
tmax	temperature max	TMax_4|Tmax_6	c0802911	1
tmp	trimethoprim	tmp_2|TMP_8	c0041041	1
tpa	tissue plasminogen activator	Tpa_1|tpa_1|TPA_7|tPa_2|tPA_9	c1383102	1
tpn	total parenteral nutrition	TPN_16|tpn_4	c0030548	1
tprot	total protein	TProt_6	c1261360	1
tr	tricuspid regurgitation	TR_19	c0040961	0.9865
tr	trace	tr_1	c0442822	0.0135
trach	tracheostomy tube	trach_7|Trach_2	c0184159	0.075
trach	tracheostomy	trach_6|Trach_1	c0040590	0.242
trach	tracheal	trach_4	c0040578	0.683
trpi	troponin-i	TRPI_10	c0077401	1
tsh	thyroid stimulating hormone	TSH_20	c0040160	1
tsp	teaspoon	tsp_20	c1533179	1
tte	transthoracic echocardiogram	.TTE_1|TTE_19	c0430462	1
ttp	tender to palpation	TTP_210	c0030247|c0234234	0.9687
ttp	thrombotic thrombocytopenic purpura	TTP_7	c0034155	0.0313
tues	tuesday	Tues._1|tues._1|Tues_15|tues_1|TUES_2	c0585026	1
tv	tricuspid valve	TV_10	c1269006	0.4659
tv	television	TV_5|T.V_1	c0039461	0.5
tv	tidal volume	TV_2|Tv_2	c0040210	0.0341
tvc	the vanderbilt clinic	tvc_11	null	1
tx	treatment	tx._1|Tx_2|..tx_1|TX_1|tx_16	c0087111	0.947
tx	transplant	Tx_2|tx_1	c0040732	0.047
tx	transferred	tx_1	c0030704	0.006
u	units	u_13|U_6|.u_1	c0439148	1
u_a	urinalysis	U/A_14|u/a_4	c0042014	1
u_l	units per liter	u/l_1|U/L_9	c0439339	1
u_s	ultrasound	U/S_13|u/s_7	c0041618	1
ua	urinalysis	UA_20	c0042014	1
uabasic	basic urinalysis	UABasic_10	c0202532	1
uac	umbilical artery catheter	UAC_16	c0179797	1
ualb	urine albumin	UAlb_6	c0042038	1
ubact	urine bacteria	UBact_4	c1262012	1
ubili	urine bilirubin	UBili_4	c0555166	1
ucath	urine catheter	UCath_8	c0179802	1
uchar	urine character	UChar_4	c1984829	1
ucx	urine culture	ucx_1|UCX_2|Ucx_2|UCx_5	c0430404	1
uds	urine drug screen	UDS_20	c0202274	1
ue	upper extremity	UE_812	c1140618	1
ugi	upper gastrointestinal series	UGI_19	c0203057	0.921
ugi	upper gastrointestinal	UGI_2	c3203348	0.079
ugluc	urine glucose	UGluc_5	c0004076	1
uketo	urine ketones	UKeto_5	c0162275	1
unk	unknown	UNK_2|unk_17	c0439673	1
uop	urine output	uop_3|UOP_17	c1287298	1
uph	urine ph	UpH_7	c0042044	1
urbc	urine red blood cell count	URBC_4	c0523131	1
uri	upper respiratory infection	URI_18|uri_1	c0041912	1
urleu	urine leukocytes	UrLEU_2	c0555120	1
urpro	urine protein	UrPro_2	c1305628	1
us	ultrasound	Us_1|US_6	c0041618	1
uspgr	urine specific gravity	USpGr_6	c0202517	1
uti	urinary tract infection	UTI_19|uti_1	c0042029	1
utis	urinary tract infections	UTIs_11	c0042029	1
uurob	urine urobilinogen	UUrob_5	c0427736	1
uvc	umbilical venous catheter	UVC_20	c0878950	1
uwbc	urine white blood cell count	UWBC_3	c0919738	1
v	five	V_8	c0205451	0.9353
v	5	V_4	c0205451	0.0094
v	ventricular	v._1|V_11	c1522565	0.0282
v	vomiting	V_1	c0042963	0.0063
v	v	V_1	null	0.0042
v	vessel	v_1	c0005847	0.0167
v1	lead v1 (ekg)	V1_7	c0441907	1
v2	v2 lead of ekg	V2_41	c0441908	0.1015
v2	ophthalmic nerve (of cn5)	V2_4	c1281214	0.8985
va	veteran's affairs	VA_14	c1549054	0.872
va	ventriculo-atrial	VA_3	c0225871	0.1237
va	virginia	Va_1	c0042753	0.0043
vac	vacuum assisted closure	vac_1|VAC_4	c1956080	0.983
vac	"vincristine, adriamycin, cyclophosphamide"	VAC_4	c0085752|c0042679|c0010583	0.013
vac	"vincristine, actinomycin, cyclophosphamide"	VAC_1	c0001259|c0042679|c0010583	0.004
vanc	vancomycin	vanc_9|Vanc_8	c0042313	1
var	varied	var_8	c1548673	1
vasc	vascular	Vasc_6|vasc._1|vasc_4|VASC_3	c0005847	1
vats	video-assisted thoracoscopic surgery	VATS_13	c0752151	1
vbg	venous blood gas	vbg_5|VBG_15	c0201919	1
vch	vanderbilt children's hospital	VCH_18|vch_2	c0020017	1
vcug	voiding cystourethogram	VCUG_25	c0203123	1
ve	visual exam	VE_2	c0042825	0.7143
ve	minute ventilation	Ve_1	c1301655	0.2857
vfss	videofluoroscopic swallow study	VFSS_20	c0412099	1
vhi	vanderbilt heart institute	Vhi_3|vhi_5	null	1
vit	vitamin	Vit_6|vit_9|vit._1	c0042890	1
vita	vanderbilt addiction center	VITA_16|Vita_4	c3242777	1
vp	ventriculoperitoneal	VP_3	c0175662	0.994
vp	etoposide	VP_2	c0015133	0.006
vph	vanderbilt psychiatric hospital	VPH_19	c0020021	1
vps	ventriculoperitoneal shunt	vps._1|VPS_19	c0162702	1
vre	vancomycin resistant enterococcus	VRE_20	c1265175	1
vs	versus	vs_7|vs._6	null	0.7224
vs	vital signs	VS_6	c0518766	0.2776
vsd	ventricular septal defect	VSD_24	c0018818	1
vss	vital signs stable	VSS._1|VSS_17|vss_1|VSs_1	c0277803	1
vt	ventricular tachycardia	VT_20	c0042514	0.28
vt	vented tracheostomy	VT_6	c0040590	0.121
vt	tidal volume	VT_1	c0040210	0.599
vte	venous thromboembolism	VTE_4	c1861172	1
vumc	vanderbilt university medical center	Vumc_1|VUMC_19	null	1
w_	with	w/_23	c0332287	1
w_a	while awake	w/a_8	c0234422	1
w_fe	with iron	w/fe_3|w/Fe_3	c0302583	1
w_o	without	w/o_18|W/O_2	c0332288	1
w_r_r	"wheezes, rales, rhonchi"	W/R/R_4|w/r/r_6	c0240859|c0035508|c0043144	1
w_u	work up	w/u_19|W/U_1	c0750430	1
wbc	white blood cell count	WBC_13|wbc_1	c0427512	0.933
wbc	white blood cell	WBC_5	c0023516	0.067
wbcs	white blood cells	WBCs_10|wbcs_2	c0023516	1
wf	white female	WF_20	c0015780|c0043157	1
wk	week	wk_20	c0439230	1
wks	weeks	wks._1|wks_19	c0439230	1
wm	white male	WM_17|wm_1	c0043157|c0024554	0.9886
wm	wall motion	WM_2	c1980023	0.0114
wnl	within normal limits	wnl_10|WNL_9	c0205307	1
wob	work of breathing	WOB_8|wob_2	c0043229	1
wt	weight	Wt_2|WT_1|wt._1|wt_7	c0043100	1
wwp	warm and well perfused	wwp_5|WWP_10	c0232362	1
x2	twice	x2_6|X2_1	c1948050	0.104
x2	for two	x2_3	c0205448	0.896
x2days	for two days	x2days_10	c1442455	1
x3	times three	x3_32|X3_1	c0205449	0.0891
x3	"person, place and time"	x3_5	c1321017	0.9109
x3days	for three days	x3days_10	c0439228|c0205449	1
x4	"alert and oriented to person, place, time, date"	x4_5	c0239110|c1961840	0.1522
x4	times four	x4_14	c0205450	0.8478
x5days	for five days	x5days_10	c1442466	1
x7days	for 7 days	x7days_8	c1547085	1
xii	cranial nerve 12	XII_10	c0020614	1
xr	extended release	XR_10|xr_5	c1707968	0.967
xr	x-ray	XR_4|xr_1	c1306645	0.033
xray	radiograph	xray_11|Xray_2|XRAY_1	c1306645	1
xrt	radiation therapy	XRT_21	c0034619	1
yrs	years	Yrs_1|yrs_17	c0439234	1
