abr,long_form,long_form_raw
DU,duodenal ulcer,duodenal ulcer (see [[peptic ulcer]])
DUB,dysfunctional uterine bleeding,[[dysfunctional uterine bleeding]]
DVT,deep vein thrombosis,[[deep vein thrombosis]]
DW,dextrose in water,[[Glucose|dextrose]] in water
D5W,5% dextrose in water,5% dextrose in water
DX,diagnosis,[[diagnosis]]
Dx,diagnosis,[[diagnosis]]
dx,diagnosis,[[diagnosis]]
DZ,disease,[[disease]]
E,ecstasy,[[Methylenedioxymethamphetamine|ecstasy]] 
E,electrolytes, [[electrolyte]]s 
E,Enterococcus, ''[[Enterococcus]]'' 
E,epinephrine, [[epinephrine]]
EAC,external acoustic meatus,[[external acoustic meatus]]
EACA,epsilon-aminocaproic acid,[[epsilon-aminocaproic acid]]
EAEC,enteroadhesive Escherichia coli,enteroadhesive ''[[Escherichia coli]]''
EAF,enteric adherence factor,enteric adherence factor
EAM,external auditory meatus,[[external auditory meatus]]
EBRT,external beam radiation therapy,external beam radiation therapy
EBL,estimated blood loss,estimated blood loss (see [[bleeding]])
EBM,evidence-based medicine,[[evidence-based medicine]] 
EBM,expressed breast milk, expressed [[breast milk]]
EBT,electron beam tomography,[[electron beam tomography]]
EBV,Epstein–Barr virus,[[Epstein–Barr virus]]
EC,enteric coating,[[enteric coating]]
ECC,endocervical curettage,endocervical curettage
ECD,endocardial cushion defect,endocardial cushion defect
ECF,extracellular fluid,[[extracellular fluid]] 
ECF,enteric cytopathic human orphan, enteric cytopathic human orphan
ECG,electrocardiogram,[[electrocardiogram]]
ECM,extracellular matrix,extracellular matrix
ECHO,"echocardiogram,| enteric cytopathic human orphan virus","echocardiogram,| enteric cytopathic human orphan virus"
ECI,febris e causa ignota,[[Fever of unknown origin|febris e causa ignota]] (normally written as ''febris E.C.I.'') 
ECI,fever of unknown origin,fever of unknown origin
ECLS,extracorporeal life support,[[extracorporeal life support]]
ECMO,extracorporeal membrane oxygenation,[[extracorporeal membrane oxygenation]]
ECP,emergency care practitioner,[[emergency care practitioner]]
ECT,electroconvulsive therapy,[[electroconvulsive therapy]]
ECTR,endoscopic carpal tunnel release,[[endoscopic carpal tunnel release]]
ED,emergency department,[[emergency department]] 
ED,erectile dysfunction, [[erectile dysfunction]] 
ED,ectodermal dysplasia, [[ectodermal dysplasia]]
EDC,estimated date of confinement (at 40/40 weeks of pregnancy),estimated date of confinement (at 40/40 weeks of pregnancy)
EDD,estimated date of delivery (at 40/40 weeks of pregnancy); expected date of delivery,estimated date of delivery (at 40/40 weeks of pregnancy); expected date of delivery 
EDD,estimated date of discharge, estimated date of discharge
EDF,end diastolic flow (describing the flow of blood through the umbilical artery),end diastolic flow (describing the flow of blood through the umbilical artery)
EDH,epidural hematoma,[[epidural hematoma]]
EDM,esophageal Doppler monitor,esophageal Doppler monitor
EDRF,endothelium-derived relaxing factor aka nitric oxide,[[endothelium-derived relaxing factor]] aka [[nitric oxide]]
EDTA,ethylene-diamine-tetraacetic acid,[[ethylene-diamine-tetraacetic acid]]
EDS,Ehlers-Danlos syndrome,Ehlers-Danlos syndrome
EDV,end-diastolic volume,[[end-diastolic volume]]
EEE,eastern equine encephalitis,[[eastern equine encephalitis]]
EEG,electroencephalogram,[[electroencephalogram]]
EENT,"ears, eyes, nose, throat","ears, eyes, nose, throat (see [[otolaryngology]])"
EEX,electrodiagnosis,[[electrodiagnosis]]
EF,ejection fraction,[[ejection fraction]]
EFM,"electronic fetal monitoring, aka external fetal monitoring","electronic fetal monitoring, aka external fetal monitoring ([[cardiotocograph]])"
EFS,event-free survival,event-free survival
EFW,estimated fetal weight,estimated fetal weight
EGBUS,"external genitalia, Bartholin's glands, urethra & Skene's glands","[[external genitalia]], [[Bartholin's glands]], [[urethra]] & [[Skene's glands]]"
EGD,esophagogastroduodenoscopy,[[esophagogastroduodenoscopy]]
EGF,epidermal growth factor,[[epidermal growth factor]]
EGPA,eosinophilic granulomatosis with polyangiitis,[[eosinophilic granulomatosis with polyangiitis]] (formerly known as Churg-Strauss syndrome)
EHEC,enterohemorrhagic Escherichia coli,enterohemorrhagic ''[[Escherichia coli]]''
EIEC,enteroinvasive Escherichia coli,enteroinvasive ''[[Escherichia coli]]''
EIA,external iliac artery External iliac artery,external iliac artery ''[[External iliac artery]]''
EJ,elbow jerk,elbow jerk ([[triceps reflex]])
EKG,electrocardiogram,[[electrocardiogram]]
ELLSCS,elective lower segment caesarean section,elective lower segment [[caesarean section]]
ELISA,enzyme-linked immunosorbent assay,[[ELISA|enzyme-linked immunosorbent assay]]
EM,erythema multiforme,erythema multiforme
EMB,ethambutol,[[ethambutol]] 
EMB,endometrial biopsy or endomyocardial biopsy, endometrial biopsy or endomyocardial biopsy
EmBx,endometrial biopsy,[[endometrial biopsy]]
EMC,encephalomyocarditis,[[encephalomyocarditis]]
EMD,early morning discovery,early morning discovery 
EMD,electromechanical dissociation, [[Pulseless electrical activity|electromechanical dissociation]]
EMDEX,essential medicines index,[[EMDEX|essential medicines index]]
EMF,endomyocardial fibrosis,[[endomyocardial fibrosis]]
EMG,electromyography,[[electromyography]]
EMLSCS,emergency lower segment Caesarean section,emergency lower segment [[Caesarean section]]
EMU,"early morning urine sample (being the most concentrated, generally used for pregnancy testing)","early morning urine sample (being the most concentrated, generally used for pregnancy testing)"
Emul,emulsion,[[emulsion]]
ENT,"ear, nose, and throat","ear, nose, and throat (see [[otolaryngology]])"
EOB,edge of bed,edge of bed
EoL,date=November 2016}},[[End-of-life]]{{dn|date=November 2016}} (adjective)
EoLC,End-of-life care,[[End-of-life care]]
EOM,extraocular muscles,[[extraocular muscles]]
EOMI,extraocular movements intact,extraocular movements intact (see [[eye movement]])
EPCT,estrogen-progesterone challenge test,estrogen-progesterone challenge test
EPEC,enteropathogenic Escherichia coli,enteropathogenic ''[[Escherichia coli]]''
EPH,"edema, proteinuria, hypertension","edema, proteinuria, hypertension"
EPO,erythropoietin,[[erythropoietin]]
EPS,electrophysiology,[[electrophysiology]] 
EPS,extrapyramidal syndromes, extrapyramidal syndromes
ER,emergency room,[[Emergency department|emergency room]]
ERCP,endoscopic retrograde cholangiopancreatography,[[endoscopic retrograde cholangiopancreatography]]
ERM,epiretinal membrane,[[epiretinal membrane]]
ERMS,embryonal rhabdomyosarcoma,embryonal rhabdomyosarcoma
ESA,erythropoiesis-stimulating agent,[[erythropoiesis-stimulating agent]]
ESHAP,"etoposide, cisplatin, cytarabine, methylprednisolone","[[etoposide]], [[cisplatin]], [[cytarabine]], [[methylprednisolone]] (chemotherapy regimen for relapsed [[Non-Hodgkin lymphoma]])"
ESL,extracorporeal shockwave lithotripsy;,extracorporeal shockwave lithotripsy (also ''ESWL'') (see [[lithotriptor]]); 
ESL,English as a second language, [[English language learning and teaching|English as a second language]] (affects provider–patient communication)
ESBL,extended spectrum beta-lactamase,[[Beta-lactamase#Extended-spectrum beta-lactamase (ESBL)|extended spectrum beta-lactamase]] (see also [[gram-negative bacteria]])
ESM,ejection systolic murmur,ejection systolic murmur
ESR,erythrocyte sedimentation rate,[[erythrocyte sedimentation rate]]
ESRD,end-stage renal disease,[[end-stage renal disease]]
ESS,empty sella syndrome,empty sella syndrome 
ESS,enhanced support service, enhanced support service
EST,endodermal sinus tumor,endodermal sinus tumor
ESV,end-systolic volume,[[end-systolic volume]]
ESWL,extracorporeal shockwave lithotripsy,extracorporeal shockwave lithotripsy (also ''ESL'') (see [[lithotriptor]])
ET,endothelin,[[endothelin]] 
ET,endotracheal, [[Vertebrate trachea|endotracheal]]
ETEC,enterotoxigenic Escherichia coli,enterotoxigenic ''[[Escherichia coli]]''
Etiol,etiology,[[etiology]]
ETOH,ethanol,[[ethanol]] (ethyl alcohol)
ETS,endoscopic thoracic sympathectomy,[[endoscopic thoracic sympathectomy]]
ETT,endotracheal tube,[[endotracheal tube]]
EUA,examination under anesthesia,examination under [[anesthesia]]
EUP,extrauterine pregnancy,[[Ectopic pregnancy|extrauterine pregnancy]]
EUS,endoscopic ultrasonography,[[endoscopic ultrasonography]]
EVAR,endovascular aneurysm repair,[[endovascular aneurysm repair]]
EVF,erythrocyte volume fraction,erythrocyte volume fraction (see [[hematocrit]])
Exam,examination,"examination (for example, [[physical examination]])"
Exp Lap,exploratory laparotomy,exploratory [[laparotomy]]
Ext,extremities,[[Limb (anatomy)|extremities]]
FA,Fanconi anemia,Fanconi anemia
FAMMM syndrome,familial atypical multiple mole melanoma syndrome,[[FAMMM syndrome|familial atypical multiple mole melanoma syndrome]]
FANA,fluorescent antinuclear antibody test,fluorescent antinuclear antibody test
FAP,familial adenomatous polyposis,[[familial adenomatous polyposis]]
FAST,focused assessment with sonography for trauma,[[focused assessment with sonography for trauma]]
FB,foreign body,[[foreign body]]
FBC,Family Birth Center,Family Birth Center 
FBC,full blood count, [[full blood count]]
FBE,full blood exam,[[Full blood count|full blood exam]]
FBG,fasting blood glucose,[[Glucose test|fasting blood glucose]]
FBS,Failed back syndrome,[[Failed back syndrome]] 
FBS,fasting blood sugar, fasting [[blood sugar]]
F/C,fevers and/or chills,[[fever]]s and/or [[Rigor (medicine)|chills]]
FCS,Faciocutaneoskeletal syndrome,Faciocutaneoskeletal syndrome
FDC,follicular dendritic cells,[[follicular dendritic cells]]
FDG,fluordeoxyglucose,fluordeoxyglucose
FDIU,fetal demise in utero,[[Stillbirth|fetal demise in utero]]
FDP,fibrin degradation product,[[fibrin degradation product]]
Fe,iron,[[iron]]
fem,female,[[female]] 
fem,femoral, [[Femoral (disambiguation)|femoral]]
FEN,"Fluids, Electrolytes, Nutrition","Fluids, Electrolytes, Nutrition"
FEP,free erythrocyte protoporphyrin,free erythrocyte protoporphyrin 
FEP,fibroepithelial polyp, fibroepithelial polyp
FESS,functional endoscopic sinus surgery,[[functional endoscopic sinus surgery]]
FET,frozen embryo transfer,frozen embryo transfer
FF,free fluids,free fluids ([[Thickened fluids|non-thickened fluids]])
FFA,free fatty acids,[[Fatty acid#Free fatty acids|free fatty acids]]
FFP,fresh frozen plasma,[[fresh frozen plasma]]
FHR,fetal heart rate,[[fetal heart rate]]
FHS,fetal heart sound,[[Fetal heart rate|fetal heart sound]]
FHT,fetal heart tones,[[Fetal heart rate|fetal heart tones]]
FHx,family history,"[[family history]] (in medicine, meaning specifically the [[Medical history|medical histories]] of family members and ancestors)"
FIBD,found in bed dead,found in bed dead
FISH,fluorescence in situ hybridization,[[fluorescence in situ hybridization]]
FL,femur length,femur length
FLAIR,fluid attenuated inversion recovery,[[fluid attenuated inversion recovery]]
FLK,funny-looking kid,funny-looking kid (slang reference to [[deformity|dysmorphic features]])
fl.oz.,fluid ounce,[[fluid ounce]] (1 Imperial fluid ounce ≈ 28.4&nbsp;mL; 1 U.S. fluid ounce ≈ 29.6&nbsp;mL) (use of these units is generally deprecated in modern medicine in favor of [[Litre#SI prefixes applied to the litre|mL]])
FM,fetal movement,fetal movement
FMF,fetal movements felt,[[fetal movement]]s felt
FMP,first menstrual period,"first menstrual period (that is, [[menarche]])"
FMPP,Familial male precocious puberty,[[Familial male precocious puberty]]
fMRI,functional magnetic resonance imaging,[[functional magnetic resonance imaging]]
FMS,Fibromyalgia Syndrome,[[Fibromyalgia| Fibromyalgia Syndrome]]
F→N,finger-to-nose test,finger-to-nose test (one simple clinical test of [[motor coordination]])
FNA,fine-needle aspiration,[[Needle aspiration biopsy|fine-needle aspiration]]
FNAB,fine-needle aspiration biopsy,[[Needle aspiration biopsy|fine-needle aspiration biopsy]]
FNAC,fine-needle aspiration cytology,[[Needle aspiration biopsy|fine-needle aspiration cytology]]
FNC,full nursing care,[[nursing care|full nursing care]]
FNH,focal nodular hyperplasia,[[focal nodular hyperplasia]]
FOB,"Foot of Bed, father of baby","Foot of Bed, father of baby"
FOBT,fecal occult blood test,[[Fecal occult blood|fecal occult blood test]]
FOF,found on floor (patient fell out of bed),found on floor (patient fell out of bed)
FOS,full of stool,full of stool
FOOSH,fall on outstretched hand,fall on outstretched hand
FP,Family Planning,[[Family planning|Family Planning]]
FPG,fasting plasma glucose,[[Glucose test|fasting plasma glucose]]
FRDA,Friedreich's ataxia,[[Friedreich's ataxia]]
FROM,full range of motion,[[Range of motion|full range of motion]]
FSBS,finger-stick blood sugar,finger-stick blood sugar (one method of [[blood glucose monitoring]])
FSE,fetal scalp electrode,fetal scalp electrode
FSGS,focal and segmental glomerulosclerosis,[[focal and segmental glomerulosclerosis]]
FSH,follicle-stimulating hormone,[[follicle-stimulating hormone]]
FTA,fluorescent treponemal antibody,fluorescent treponemal antibody (see [[syphilis]])
FTA-ABS,fluorescent treponemal antibody absorption,fluorescent treponemal antibody absorption (see [[syphilis]])
FTT,failure to thrive,[[failure to thrive]]
F/U,follow-up,follow-up
FUE,Follicular Unit Extraction,[[Hair transplantation|Follicular Unit Extraction]]
FUT,Follicular Unit Transplantation,[[Hair transplantation|Follicular Unit Transplantation]]
FUO,fever of unknown origin,[[fever of unknown origin]]
FVC,forced vital capacity,[[Vital capacity|forced vital capacity]] ([[spirometry]] test value used in assessment of [[chronic obstructive pulmonary disease]])
FWB,full weight bearing,full weight bearing
FWD,full ward diet;,full ward diet; 
FWD,forward, forward
Fx,Function,Function
G,gravidity,"[[gravidity]] (total number of pregnancies, successful or not) "
G,guanosine, [[guanosine]]
G6PD,glucose-6-phosphate-dehydrogenase,[[glucose-6-phosphate-dehydrogenase]]
GA,general anaesthesia,[[general anaesthesia]] 
GA,gestational age, [[gestational age]]
GABA,gamma-aminobutyric acid,[[gamma-aminobutyric acid]]
GABHS,group A beta-hemolytic streptococcus,group A beta-hemolytic streptococcus
GAPS,Guidelines for Adolescent Preventative Services,Guidelines for Adolescent Preventative Services
GB,gallbladder,[[gallbladder]]
GBC,gallbladder carcinoma,gallbladder carcinoma
GBS,group B Strep.,group B Strep. 
GBS,Guillain–Barré syndrome, [[Guillain–Barré syndrome]]
GBM,glioblastoma multiforme,[[glioblastoma multiforme]] 
GBM,glomerular basement membrane, [[glomerular basement membrane]]
GC,general condition,general condition 
GC,gonococcus, [[Neisseria gonorrhoeae|gonococcus]]
GCA,giant cell arteritis,[[Temporal arteritis|giant cell arteritis]]
GCS,Glasgow Coma Scale,[[Glasgow Coma Scale]] 
GCS,Graduated compression stockings, [[Graduated compression stockings]]
GCT,germ cell tumor,germ cell tumor 
GCT,glucose challenge test, glucose challenge test 
GCT,Giant cell tumor, Giant cell tumor
G-CSF,granulocyte colony-stimulating factor,[[granulocyte colony-stimulating factor]]
GDA,gastroduodenal artery,[[gastroduodenal artery]]
GDLH,glutamate dehydrogenase,[[glutamate dehydrogenase]]
GDM,Gestational Diabetes Mellitus,[[Gestational diabetes|Gestational Diabetes Mellitus]]
GDP,guanosine diphosphate,[[guanosine]] diphosphate
GDS,Geriatric Depression Scale,[[Geriatric Depression Scale]]
GERD,gastroesophageal reflux disease,[[gastroesophageal reflux disease]]
GFR,glomerular filtration rate,[[glomerular filtration rate]]
GGT,gamma glutamyl transferase,[[gamma glutamyl transferase]]
GGTP,gamma glutamyl transpeptidase,[[gamma glutamyl transpeptidase]]
GH,growth hormone,[[growth hormone]]
GHRF,growth hormone releasing factor,[[growth hormone releasing factor]]
GHRH,growth hormone releasing hormone,growth hormone releasing hormone
GI,gastrointestinal;,[[gastrointestinal]]; 
GI,gastrointestinal tract, [[Human gastrointestinal tract|gastrointestinal tract]]
GIA,A model of surgical staple,[[Surgical staple|A model of surgical staple (GI: Gastro-Intestinal)]]
GIB,gastrointestinal bleed,gastrointestinal bleed
GIS,GastroIntestinal Surgeon,GastroIntestinal Surgeon
GIFT,gamete intrafallopian transfer,[[gamete intrafallopian transfer]]
GIST,gastrointestinal stromal tumor,[[gastrointestinal stromal tumor]]
GIT,gastrointestinal tract,[[Human gastrointestinal tract|gastrointestinal tract]]
GITS,gastrointestinal therapeutic system,[[Pill splitting|gastrointestinal therapeutic system]]
GMC,"general medical condition (e.g., 0 GMC)","general medical condition (e.g., 0 GMC)"
GM-CSF,granulocyte macrophage colony-stimulating factor,[[granulocyte macrophage colony-stimulating factor]]
GMP,guanosine monophosphate,[[guanosine monophosphate]]
GN,glomerulonephritis,[[glomerulonephritis]]
GNRH,gonadotropin-releasing hormone,[[gonadotropin-releasing hormone]]
GOAT,Galveston Orientation and Amnesia Test,[[Galveston Orientation and Amnesia Test]]
GOD,glucose oxidase,[[glucose oxidase]]
GOK,God only knows,God only knows
GOMER,get outta my ER,get outta my ER
GORD,gastro-oesophageal reflux disease,[[gastroesophageal reflux disease|gastro-oesophageal reflux disease]]
GOT,glutamic-oxalacetic transaminase,[[glutamic-oxalacetic transaminase]]
GP,general practitioner,[[general practitioner]] 
GP,Goodpasture's syndrome, Goodpasture's syndrome
GPA,granulomatosis with polyangiitis,[[granulomatosis with polyangiitis]] (formerly known as Wegener's granulomatosis)
GPCL,gas permeable contact lens,[[gas permeable contact lens]]
GPT,glutamic-pyruvic transaminase,[[glutamic-pyruvic transaminase]]
Gr,grain,[[Grain (mass)|grain]]
GRAV I,gravidity = 1,[[gravidity]] = 1 (indicating a woman during her first [[pregnancy]])
GSW,gunshot wound,[[gunshot wound]]
GTN,glyceryl trinitrate,[[glyceryl trinitrate (pharmacology)|glyceryl trinitrate]] 
GTN,gestational trophoblastic neoplasia, gestational trophoblastic neoplasia
GTT,glucose tolerance test,[[glucose tolerance test]] 
GTT,gestational trophoblastic tumor, gestational trophoblastic tumor
Gtts,guttae,[[Guttae (medical)|guttae]] (drops)
GU,genitourinary,[[genitourinary]] 
GU,gastric ulcer, [[Peptic ulcer|gastric ulcer]]
GUM,genitourinary medicine,[[genitourinary medicine]] (often used more restrictively as alternative to sexually transmitted disease clinic)
GvH,graft-versus-host,[[Transplant rejection|graft-versus-host]]
"GvHD,",graft-versus-host disease,[[Transplant rejection|graft-versus-host disease]]
GVHD,graft-versus-host disease,[[Transplant rejection|graft-versus-host disease]]
GXT,graded exercise test,graded exercise test
GYN,gynecology,[[gynecology]]
h,hour or hours,hour or hours
H,histamine or its receptors,[[histamine]] or its receptors (if with subscripts) 
H,hemagglutinin, [[Paramyxoviridae#Proteins|hemagglutinin]]
HA,hypertonia arterialis,[[hypertonia arterialis]] 
HA,headache, [[headache]] 
HA,calcium hydroxyapatite, calcium hydroxyapatite
H/A,headache,[[headache]]
HAA,hepatitis-associated antigen or #History As Above,[[hepatitis]]-associated antigen or #History As Above
HAART,highly active antiretroviral therapy,highly active [[antiretroviral drug|antiretroviral]] therapy
HACA,human anti-chimeric antibody,[[human anti-chimeric antibody]]
HACE,high-altitude cerebral edema,high-altitude [[cerebral edema]]
HACEK]],acronym for a group of bacteria that are a frequent cause of endocarditis in children,acronym for a group of bacteria that are a frequent cause of endocarditis in children
HAD,HIV-associated dementia,[[HIV-associated dementia]]
HADS,Hospital Anxiety and Depression Scale,[[Hospital Anxiety and Depression Scale]]
HAE,hereditary angioedema,[[angioedema|hereditary angioedema]]
H/A,headache,[[headache]]
HAI,healthcare-associated infection or hospital-acquired infection,[[healthcare-associated infection]] or [[hospital-acquired infection]]
HALE,health-adjusted life expectancy,health-adjusted life expectancy
HAPE,high-altitude pulmonary edema,high-altitude [[pulmonary edema]]
HAV,hepatitis A virus,[[hepatitis A]] virus
Hb,hemoglobin,[[hemoglobin]]
HB,heart block,[[heart block]]
Hb%,hemoglobin concentration in gram per deciliter,[[hemoglobin]] concentration in gram per deciliter
HbA,hemoglobin A,[[hemoglobin|hemoglobin A]] (commonest type of hemoglobin)
HBD,has been drinking,has been drinking
HbF,fetal hemoglobin,[[fetal hemoglobin]]
HBO,hyperbaric oxygen,[[hyperbaric oxygen]]
HBP,"high blood pressure, that is, hypertension","high blood pressure, that is, [[hypertension]]"
HBV,hepatitis B virus,[[hepatitis B virus]]
HC,head circumference,head circumference 
HC,hemorrhagic colitis, hemorrhagic colitis 
HC,homocysteine, homocysteine
HCA,"Healthcare Associated, as in HCA-CDI","Healthcare Associated, as in HCA-CDI"
HCC,hepatocellular carcinoma,[[hepatocellular carcinoma]]
HCF,Healthcare Facility,Healthcare Facility
HCFA,"Healthcare Facility Associated, as in HCFA-CDI","Healthcare Facility Associated, as in HCFA-CDI"
hCG,human chorionic gonadotropin,[[human chorionic gonadotropin]]
HCL,hairy cell leukemia,[[hairy cell leukemia]]
HCM,hypertrophic cardiomyopathy,[[hypertrophic cardiomyopathy]] 
HCM,healthcare maintenance, healthcare maintenance
Hct,hematocrit,[[hematocrit]]
HCT,hematocrit,[[hematocrit]] 
HCT,hematopoietic cell transplantation, hematopoietic cell transplantation
HCRP,Hospital Cornea Retrieval Programme,Hospital Cornea Retrieval Programme
HCTZ,hydrochlorothiazide,[[hydrochlorothiazide]]
HD,Hodgkin disease,[[Hodgkin disease]] 
HD,Hemodialysis, [[Hemodialysis]] 
HD,Huntington's disease, Huntington's disease
HCV,hepatitis C virus,[[hepatitis C virus]]
HDL,high-density lipoprotein,[[high-density lipoprotein]]
HDL-C,high-density lipoprotein-cholesterol,[[high-density lipoprotein]]-cholesterol
HDN,hemolytic disease of the newborn,[[hemolytic disease of the newborn]]
HDU,high dependency unit,[[high dependency unit]]
HDV,hepatitis D virus,[[hepatitis D virus]]
HDW,Hemoglobin Distribution Width,[[Hemoglobin Distribution Width]]
H&E,"hematoxylin and eosin, a standard tissue stain","[[H&E stain|hematoxylin and eosin]], a standard tissue stain"
HE,hepatic encephalopathy,hepatic encephalopathy
HEC,High emetogenic chemotherapy,[[High emetogenic chemotherapy]]
HEENT,"head, eyes, ears, nose, throat","[[Otolaryngology|head, eyes, ears, nose, throat]]"
HELP,"Hemolysis, elevated liver enzymes, low platelets","[[Hemolysis]], [[Liver function tests|elevated liver enzymes]], low [[platelets]] (syndrome) (in [[pregnancy]])"
HELLP,"Hemolysis, elevated liver enzymes, low platelets","[[Hemolysis]], [[Liver function tests|elevated liver enzymes]], low [[platelets]] (syndrome) (in [[pregnancy]])"
HEMA,"hydroxy ethyl methacrylate, a material in soft contact lenses","[[hydroxy ethyl methacrylate]], a material in soft [[contact lens]]es"
Hema,hematest – e.g. hema– fecal occult blood,hematest – e.g. hema (-) – [[fecal occult blood]]
HES,hydroxyethyl starch,[[hydroxyethyl starch]]
HETE,hydroxyeicosatetraenoic acid,[[Arachidonic acid 5-hydroperoxide|hydroxyeicosatetraenoic acid]]
HEV,hepatitis E virus,[[Hepatitis E|hepatitis E virus]]
HF,heart failure,heart failure
HFpEF,heart failure with preserved ejection fraction,heart failure with preserved ejection fraction
HFrEF,heart failure with reduced ejection fraction,heart failure with reduced ejection fraction
HFM,"hand, foot and mouth disease","[[hand, foot and mouth disease]]"
HFMD,"hand, foot and mouth disease","[[hand, foot and mouth disease]]"
HFRS,hemorrhagic fever with renal syndrome,hemorrhagic fever with renal syndrome
HGB,hemoglobin,[[hemoglobin]]
HGSIL,high-grade squamous intraepithelial lesion,[[Bethesda System|high-grade squamous intraepithelial lesion]]
HGV,hepatitis G virus,[[hepatitis G|hepatitis G virus]]
HGPRTase,hypoxanthine-guanine phosphoribosyl transferase,[[hypoxanthine]]-[[guanine]] phosphoribosyl transferase
HH,hiatus hernia,[[hiatus hernia]]
H/H or H&H,hemoglobin and hematocrit,[[hemoglobin]] and [[hematocrit]]
HHT,hereditary hemorrhagic telangiectisia,hereditary hemorrhagic telangiectisia
HHV,human herpesvirus,human [[herpesviridae|herpesvirus]] 
HI,homicidal ideation,homicidal ideation
Hib,haemophilus influenzae B,[[Haemophilus influenzae|haemophilus influenzae B]]
HIDA,hepatobiliary iminodiacetic acid,[[hepatobiliary iminodiacetic acid]]
HIDS,hyper-IgDsyndrome,hyper-[[IgD]] (and periodic [[fever]]) syndrome
HIT,heparin-induced thrombocytopenia,[[heparin]]-induced [[thrombocytopenia]]
HIV,human immunodeficiency virus,[[HIV|human immunodeficiency virus]]
HL,hepatic lipase,[[hepatic lipase]] 
HL,Hodgkin's lymphoma, [[Hodgkin's lymphoma]] 
HL,hearing level, hearing level
HLA,human leukocyte antigen,[[human leukocyte antigen]]
HLD,Hyperlipidemia,[[Hyperlipidemia]]
HLHS,hypoplastic left heart syndrome,[[hypoplastic left heart syndrome]]
H&M,hematemesis and melena,[[hematemesis]] and [[melena]]
HMD,hyaline membrane disease,[[hyaline membrane disease]]
HMG,human menopausal gonadotropin,human menopausal gonadotropin
HMG-CoA,3-hydroxy-3-methyl-glutaryl-CoA,[[HMG-CoA reductase|3-hydroxy-3-methyl-glutaryl-CoA]]
HMGR,3-hydroxy-3-methyl-glutaryl-CoA reductase,[[HMG-CoA reductase|3-hydroxy-3-methyl-glutaryl-CoA reductase]]
H-mole,hydatidiform mole,hydatidiform mole
HMS,hyperreactive malarial splenomegaly,hyperreactive [[malaria]]l [[splenomegaly]]
HMSN,hereditary motor sensory neuropathy,hereditary motor sensory neuropathy
HN,hemagglutinin-neuraminidase,hemagglutinin-neuraminidase
HND,hemolytic disease of the newborn,[[hemolytic disease of the newborn]]
HNP,"spinal disk herniation or herniated disk, that is, herniated nucleus pulposus","spinal disk herniation or herniated disk, that is, herniated nucleus pulposus"
HNPCC,hereditary nonpolyposis colorectal cancer,[[hereditary nonpolyposis colorectal cancer]]
H/O,history of ...,[[medical history|history of ...]]
HOB,"head of bed (usually followed by number of degrees of elevation, e.g., HOB 10°)","head of bed (usually followed by number of degrees of elevation, e.g., HOB 10°)"
HOCM,hypertrophic obstructive cardiomyopathy,[[hypertrophic obstructive cardiomyopathy]]
HONK,hyperosmolar nonketotic coma,[[Nonketotic hyperosmolar coma|hyperosmolar nonketotic]] coma
HOPI,History of present illness,[[History of the present illness|History of present illness]]
HoTN,Hypotension,[[Hypotension]]
H&P,history and physical examination,[[medical history|history]] and [[physical examination]] (which very often are considered as a pair)
HPA,hypothalamic-pituitary-adrenal axis,[[hypothalamic-pituitary-adrenal axis]]
HPETE,hydroxyeicosatetraenoic acid,[[Arachidonic acid 5-hydroperoxide|hydroxyeicosatetraenoic acid]]
HPF,high-power field,high-power field ([[microscopy]])
HPI,history of the present illness,[[history of the present illness]]
H/oPI,history of the present illness,[[history of the present illness]]
HPOA,hypertrophic pulmonary osteoarthropathy,hypertrophic pulmonary osteoarthropathy ([[Nail clubbing|clubbing]])
hPL,human placental lactogen,[[human placental lactogen]] (same as human chorionic somatomammotropin)
HPS,hantavirus pulmonary syndrome,hantavirus pulmonary syndrome
HPV,human papillomavirus,[[human papillomavirus]]
HR,heart rate,[[heart rate]]
hr,hour or hours,[[hour]] or hours
HRAS,Harvey rat sarcoma viral oncogene homolog,Harvey rat sarcoma viral oncogene homolog
HRCT,High-resolution computed tomography,[[High Resolution CT|High-resolution computed tomography]]
HRT,hormone replacement therapy,[[hormone replacement therapy]]
h.s.,at bedtime,at bedtime (from [[Latin]] ''hora somni'')
hs,hours of sleep,hours of sleep
H→S,heel-to-shin test,heel-to-shin test
HSC,human chorionic somatomammotropin,human chorionic somatomammotropin (same as [[human placental lactogen]])
HSG,hysterosalpingogram,[[hysterosalpingogram]]
HSIL,high-grade squamous intraepithelial lesion,[[Bethesda System|high-grade squamous intraepithelial lesion]]
HSM,hepatosplenomegaly,[[hepatosplenomegaly]]
HSP,Henoch–Schönlein purpura,[[Henoch–Schönlein purpura]]
HSV,herpes simplex virus,[[herpes simplex virus]]
HT,hypertension,[[hypertension]]
Ht,height,[[Human height|height]]
HTLV,human T-lymphotropic virus,[[human T-lymphotropic virus]]
HTN,hypertension,[[hypertension]]
HTPA,hypothalamic-pituitary-adrenal axis,[[hypothalamic-pituitary-adrenal axis]]
HTVD,hypertensive vascular disease,hypertensive vascular disease
HUS,hemolytic uremic syndrome,[[hemolytic uremic syndrome]]
HVA,homovanillic acid,homovanillic acid
HVLT,high-velocity lead therapy,high-velocity lead therapy (facetious term for [[Ballistic trauma|gunshot wound]])
