LF1|LF2|Synonym
sulphobutylether beta-cyclodextrin|sulfobutylether-β-cyclodextrin|
anti-β(2) glycoprotein I antibody|anti-beta 2-glycoprotein I antibody|
β(2)glycoprotein I|β-2 glycoprotein 1|
nonhemagglutinating|non-hemagglutinating|
type-2 corticotrophin-releasing-hormone receptor|corticotropin-releasing hormone receptor type-2|
inhibitor-κB-α|inhibitor-κ B-α|
interleukin 7 receptor α chain|interleukine 7 receptor α-chain|
American Society of Anesthesiologists grade 3|American Society of Anesthesiologists Status 3|
T cell receptor-γδ-positive|T-cell-receptor-γδ-positive|
American Society of Anesthesiologists class V|American Society of Anaesthesiology status 5|
receptor-like protein-tyrosine phosphatase-μ|receptor protein tyrosine phosphatase-μ|
anti-beta2-glycoprotein I antibody|anti-β(2)-glycoprotein 1 antibody|
peroxisome-proliferator-activated receptor-gamma coactivator-1 alpha|peroxisome-proliferator-activated receptor γ coactivator 1α|
inhibitory κB kinase-β|inhibitory-κ B kinase β|
anti-β (2)-glycoprotein I antibody|anti-beta 2 glycoprotein-I antibody|
anti-beta(2)-glycoprotein I antibody|anti-beta 2-glycoprotein-I antibody|
sulphobutyl ether-β-cyclodextrin|sulphobutyl ether beta-cyclodextrin|
T cell receptor-γδ-positive|T-cell-receptor-γ δ-positive|
insulin-like growth factor-binding protein|insulin-like growth factor binding protein|
beta APP-cleaving enzyme-1|β-APP-cleaving enzyme-1|
atomic absorption spectrometry|atomic absorption spectrometer|
anti-β 2-glycoprotein-I antibody|anti-beta(2) glycoprotein I antibody|
cytosolic phospholipase A(2)-alpha|cytosolic phospholipase A2-α|
β 2-glycoprotein-I|β(2)glycoprotein I|
peroxisome proliferator activated receptor gamma 2|peroxisome proliferator activated receptor-gamma-2|
Toll-interleukin1 receptor domain-containing adapter-inducing interferon-β|toll-interleukin1 receptor domain-containing adapter-inducing interferon β|
anti-β(2) glycoprotein I antibody|anti-β2-glycoprotein 1 antibody|
cross polarization magic angle spinning nuclear magnetic resonance|cross polarization magic-angle spinning nuclear magnetic resonance|
electron probe x-ray micro-analyser|electron-probe x-ray micro-analyser|
interleukine 13 receptor α2 subunit|interleukin 13 receptor-α2 subunit|
anti-beta-2-glycoprotein-I antibody|anti-beta 2-glycoprotein I antibody|
American Society of Anaesthesiology Class II|American Society of Anesthesiology class 2|
anti-beta-2 glycoprotein-1 antibody|anti-beta(2)-glycoprotein 1 antibody|
anti-β (2)-glycoprotein I antibody|anti-β 2 glycoprotein I antibody|
American Society of Anesthesiology Grade II|American Society of Anesthesiologists grade II|
Reis-Bucklers corneal dystrophy|Reis-Bücklers' corneal dystrophy|
matrix-assisted laser desorption/ionisation time-of-flight mass spectrometric|matrix assisted laser desorption ionization time-of-flight mass spectrometric|
carboxy-haemoglobin|carboxy-hemoglobin|
pre-beta 1 high density lipoprotein|preβ1-high-density lipoprotein|
sulphobutylether-beta-cyclodextrin|sulphobutyl ether-β-cyclodextrin|
interleukine-15 receptor alpha-chain|interleukine-15 receptor α chain|
interleukin 13 receptor-α 2 subunit|interleukin-13 receptor-α 2 subunit|
anti-beta 2 glycoprotein I antibody|anti-beta2-glycoprotein 1 antibody|
toll-interleukin1 receptor domain-containing adapter inducing interferon β|Toll/interleukin 1 receptor domain-containing adapter-inducing interferon beta|
European Organisation for Research and Treatment of Cancer Quality-of-Life Questionnaire-Core 30|European Organization for Research and Treatment of Cancer Quality-of-Life Questionnaire Core-30|
cross polarization magic angle spinning nuclear magnetic resonance|cross-polarisation magic-angle spinning nuclear magnetic resonance|
tumor necrosis factor-α production|tumour-necrosis-factor-α production|
interleukine 13 receptor α2 chain|interleukin-13 receptor α2 chain|
insulinlike growth factor-1-stimulated|insulin-like growth factor 1-stimulated|
anti-human T cell lymphotropic virus 1 antibody|anti-human T-cell lymphotropic virus type 1 antibody|
toll-interleukin 1 receptor domain-containing adapter-inducing interferon-beta|Toll/interleukin 1 receptor domain-containing adapter-inducing interferon beta|
enzyme-linked immuno sorbent assay|enzyme-linked immuno-sorbent assay|
macro-molecular creatine kinase 1|macro-molecular creatine kinase type 1|
rhoptry associated protein-1|rhoptry-associated protein-1|
peripheral arterial occlusive disease|peripheral arterial obstructive disease|
Hb S-β-thalassemia|Hb S-beta-thalassemia|
peroxisome proliferator-activated receptor gamma 1|peroxisome proliferator-activated receptor γ-1|
anti-human T cell lymphotrophic virus-1 antibody|anti-human T-cell lymphotropic virus 1 antibody|
dimethylphenylisonitrile|dimethylphenylisocyanide|
anti-β 2-glycoprotein-I antibody|anti-β 2 glycoprotein-I antibody|
anti-β(2) glycoprotein-I antibody|anti-beta 2-glycoprotein-I antibody|
homozygous alpha 1-proteinase inhibitor deficiency|homozygous α-1-proteinase inhibitor deficiency|
programmed temperature vapouriser|programmed-temperature vaporizer|
β-2 glycoprotein-I|β(2)-glycoprotein I|
interleukin 13 receptor α2 chain|interleukine-13 receptor α 2 chain|
fluorine 18-labeled fluorodeoxyglucose|fluorine 18-labelled fluoro-deoxy-glucose|
beta-site amyloid precursor protein cleaving enzyme 2|beta site amyloid precursor protein cleaving enzyme 2|
peroxisome-proliferator-activated receptor gamma coactivator-1alpha|peroxisome-proliferator-activated receptor-gamma coactivator 1 alpha|
peroxisome-proliferator-activated receptor γ coactivator 1 α|peroxisome-proliferator-activated receptor-gamma co-activator-1alpha|
surface enhanced laser desorption ionisation time of flight mass spectrometry|surface-enhanced laser desorption/ionization time-of-flight mass spectrometry|
vancomycin susceptible Enterococcus|vancomycin sensitive Enterococcus|
American Society of Anesthesiologists class I|American Society of Anaesthesiologists grade 1|
inhibitor-κB-alpha|inhibitor κ-B alpha|
transition state|transition structure|
steroid receptor co-activator-2|steroid receptor co-activator 2|
ER α knock-out|ER-α knock out|
anti-β 2-glycoprotein-I antibody|anti-beta(2) glycoprotein I antibody|
a disintegrin and metalloproteinase with thrombospondin motif-14|a disintegrin and metalloprotease with thrombospondin motifs-14|
beta amyloid precursor protein-cleaving enzyme-2|beta amyloid precursor protein cleaving enzyme 2|
familial hypercholesterolæmia|familial hypercholesterolemia|
recombinant human transforming growth factor beta 3|recombinant human transforming growth factor β 3|
anti-beta-2 glycoprotein I antibody|anti-β 2-glycoprotein I antibody|
phospholipase C β 3|phospholipase C-β3|
inhibitor-κB alpha|inhibitor-κBalpha|
cross polarisation/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarisation magic angle spinning nuclear magnetic resonance spectroscopy|
receptor-like protein tyrosine phosphatase δ|receptor-like protein tyrosine phosphatase-δ|
American Society of Anaesthesiology Grade IV|American Society of Anaesthesiologists grade 4|
cross-polarization magic-angle spinning nuclear magnetic resonance|cross polarization/magic-angle spinning nuclear magnetic resonance|
α-methyl-acyl-coenzyme-A racemase|α-methylacyl coenzyme-A racemase|
inhibitor κ-B alpha|inhibitor κ B alpha|
zeta-associated protein 70|70 kDa zeta-associated protein|
American Society of Anesthesiology Grade 5|American Society of Anaesthesiology grade V|
cross-polarisation/magic-angle-spinning nuclear magnetic resonance|cross polarization magic-angle spinning nuclear magnetic resonance|
γ-amino butyric acidB receptor|gamma-amino butyric acid B receptor|
anti-phenolic glycolipid 1 antibody|anti-phenolic glycolipid I|
estrogen receptor alpha knockout|oestrogen receptor α knock-out|
anti-β(2)-glycoprotein 1 antibody|anti-beta 2-glycoprotein I antibody|
"(2""R)-4'-O-tetrahydropyranyladriamycin"|(2''R)-4'-O-Tetrahydropyranyladriamycin|
phospho-glycogen synthase kinase-3 β|phospho-glycogen synthase kinase 3 β|
interleukine 13 receptor α 2-chain|interleukine-13 receptor α 2-chain|
insulin-like growth factor II mRNA binding protein-3|insulin-like growth factor-II messenger RNA binding protein-3|
American Society of Anaesthesiologists Class 1|American Society of Anesthesiologists Status 1|
Insulin-like growth factor binding protein|Insulin-like growth factor-binding protein|
retinoic-acid-receptor-related orphan receptor gammat|retinoic acid receptor-related orphan receptor gammaT|
anti-beta-2 glycoprotein-1 antibody|anti-beta 2-glycoprotein I antibody|
anti-human T cell lymphotrophic virus-I antibody|anti-human T cell lymphotrophic virus type 1 antibody|
TATA-binding protein-associated factor-5|TATA-binding protein associated factor 5|
pegylated interferon alfa-2b|pegylated interferon-alpha-2b|
von Hippel-Lindau tumour-suppressor protein|von Hippel-Lindau tumor suppressor protein|
magic angle spinning nuclear magnetic resonance|magic-angle-spinning nuclear magnetic resonance spectroscopy|
interleukin-5 receptor α-chain|interleukine 5 receptor α-chain|
peroxisome proliferator-activated receptor-gamma coactivator 1alpha|peroxisome proliferator-activated receptor γ coactivator 1 α|
serum- and glucocorticoid-inducible kinase-1|serum and glucocorticoid-inducible kinase 1|
peroxisome proliferator-activated receptor γ coactivator-1α|peroxisome-proliferator-activated receptor-γ coactivator 1 α|
anti-β(2)-glycoprotein I antibody|anti-beta-2 glycoprotein I antibody|
crosspolarization magic-angle-spinning nuclear magnetic resonance spectroscopy|cross-polarization/magic-angle-spinning nuclear magnetic resonance spectroscopy|
interleukin-2 receptor-α|interleukine-2 receptor-α|
fan beam dual energy x-ray absorptiometry|fanbeam dual-energy X-ray absorptiometry|
toll-interleukin1 receptor domain-containing adapter-inducing interferon-β|toll-interleukin-1 receptor domain-containing adapter-inducing interferon β|
heparin-induced platelet activation assay|heparin induced platelet activation assay|
transforming growth factor-β activated kinase 1|transforming-growth-factor-β-activated kinase-1|
IL-13 receptor α 2|IL-13 receptor α2 chain|
colony-forming units|colony-forming unit|
recombinant interleukine 1-β|recombinant interleukin-1β|
inositolphosphate|inositoltrisphosphate|
tri-cyclic anti-depressant|tri-cyclic antidepressant|
T-cell-receptor γ δ-positive|T cell receptor-γ δ-positive|
interleukine-2 receptor γ-chain|interleukin-2 receptor γ-chain|
toll/interleukin 1 receptor domain-containing adapter-inducing interferon beta|Toll-interleukin-1 receptor domain-containing adapter-inducing interferon-β|
T-cell receptor γ δ-positive|T cell receptor-γ δ-positive|
multi-nodular goiter|multinodular goiter|
toll-interleukin1 receptor domain-containing adapter-inducing interferon beta|Toll/interleukin-1 receptor domain-containing adapter-inducing interferon-β|
anti-beta(2)-glycoprotein I antibody|anti-β(2)-glycoprotein 1 antibody|
corticotropin-releasing-hormone receptor 2|corticotropin-releasing hormone receptor 2|
inhibitor-κ B α|inhibitor κB α|
interleukin 3 receptor alpha chain|interleukine-3 receptor α-chain|
retinoic-acid-receptor-related orphan receptor γ T|retinoic acid receptor-related orphan receptor γ t|
thyroid stimulating hormone|thyrotropic-stimulating hormone|
insulin-like growth factor-II messenger RNA-binding protein-2|insulin-like growth factor-II messenger RNA binding protein-2|
EBV-encoded RNA-1|EBV-encoded RNA 1|
interleukine-2 receptor-α|interleukin-2 receptor α subunit|
interleukin-1β-converting enzyme inhibitor|interleukin-1 β converting enzyme inhibitor|
guanosine triphosphate binding protein α subunit|guanosine triphosphate binding protein alpha subunit|
insulin-like growth factor receptor 2|insulin-like growth factor 2 receptor|
Fc γ receptor dependent|Fcgamma receptor dependent|
oestrogen receptor β knock-out|estrogen receptor beta knockout|
cross polarisation/magic-angle-spinning nuclear magnetic resonance|cross-polarization/magic angle spinning nuclear magnetic resonance|
transforming growth factor beta-activated kinase 1-binding protein 1|transforming growth factor-β-activated kinase 1-binding protein 1|
retinoic-acid-receptor-related orphan receptor alpha|retinoic-acid-receptor-related orphan receptor-α|
sry-box-containing gene 9|SRY-box-containing gene-9|
β-secretase 1|β secretase-1|
intra-parenchymal hæmorrhage|intraparenchymal hemorrhage|
anti-human T cell lymphotropic virus type 1 antibody|anti-human T-cell lymphotropic virus type-1 antibody|
ultra-performance liquid chromatography/quadrupole time-of-flight mass spectrometry|ultraperformance liquid chromatography-quadrupole time-of-flight mass spectrometry|
lectin-like oxidised low-density lipoprotein receptor 1|lectin-like oxidized low density lipoprotein receptor 1|
oestrogen receptor α knockout|estrogen receptor α knock-out|
G protein α(i3) subunit|G protein α i3 subunit|
thromboelastograph|thrombo-elastogram|
interleukin-13 receptor α1|interleukine-13 receptor alpha 1|
tumor necrosis factor-α production|tumour necrosis factor α production|
Sino-nasal Outcome Test 20|Sinonasal Outcome Test 20|
insulin-like growth factor II mRNA binding protein 2|insulin-like growth factor-II messenger RNA-binding protein 2|
interleukine 7 receptor-α|interleukine-7 receptor α|
surface enhanced laser desorption/ionization time of flight|surface enhanced laser desorption/ionisation time of flight|
phenyl-tert-butyl nitrone|phenyl-tert-butylnitrone|
preβ1-high density lipoprotein|pre-β 1-high density lipoprotein|
transforming growth factor-β(1)|transforming growth factor beta(1)|
American Society of Anaesthesiologists physical status 3|American Society of Anaesthesiologists class III|
dopamine receptor type 2|dopamine receptor subtype 2|
alcohol-induced psychotic disorder|alcohol induced psychotic disorder|
ERβ knock out mouse|ERβ knock-out mouse|
anti-phenolic glycolipid I antibody|anti-phenolic glycolipid-1 antibody|
isopropylacrylamide|N-isopropylacrylamide|
phospholipase Cγ-1|phospholipase C-γ1|
anti-beta2 glycoprotein-I antibody|anti-β-2 glycoprotein I antibody|
β(2)-glycoprotein I|β-2-glycoprotein I|
inhibitory kappaB kinase|inhibitory-κB kinase|
American Society of Anaesthesiologists Grade I|American Society of Anesthesiologists Grade 1|
anti-beta-2-glycoprotein I antibody|anti-beta2 glycoprotein-I antibody|
human T-cell lymphotropic virus type 1 antibody|human T-cell lymphotropic virus type I antibody|
extracellular-signal regulated kinase-1|extracellular-signal-regulated kinase-1|
Thyrotropin-releasing hormone|thyrotrophin releasing-hormone|
T-cell receptor-γδ-positive|T-cell-receptor-γ δ-positive|
anti-β (2)-glycoprotein I antibody|anti-beta(2) glycoprotein I antibody|
European Organization for Research and Treatment of Cancer Quality-of-Life Questionnaire-Core 30|European Organisation for Research and Treatment of Cancer Quality of Life Questionnaire Core-30|
electron probe x-ray micro-analyser|electron-probe X-ray micro-analyzer|
transforming growth factor beta(1)|transforming growth factor beta1|
corticotrophin-releasing hormone receptor type 2|corticotrophin releasing hormone receptor 2|
transforming growth factor-β(1)|transforming growth factor-β-1|
anti-β2 glycoprotein-1 antibody|anti-β(2) glycoprotein-I antibody|
American Society of Anesthesiologists grade 5|American Society of Anaesthesiology Class V|
fluorescent-activated cell sorter|fluorescent-activated cell-sorting|
peroxisome-proliferator-activated receptor-gamma coactivator 1alpha|peroxisome-proliferator-activated receptor γ coactivator-1α|
arterial partial pressure for oxygen|arterial partial pressure of O2|
casein kinase 2-α|casein kinase IIα|
indirect immunofluorescent assay|indirect immunofluorescence test|
retinoic-acid-receptor-related orphan receptor γ-T|retinoic-acid-receptor-related orphan receptor γ-t|
American Society of Anesthesiologists grade 4|American Society of Anesthesiologists class 4|
T cell receptor-γδ-positive|T-cell receptor-γ δ-positive|
anti-beta(2)-glycoprotein 1 antibody|anti-beta 2-glycoprotein I antibody|
sulphobutyl ether beta-cyclodextrin|sulfobutylether-beta-cyclodextrin|
β2 glycoprotein I|β 2-glycoprotein I|
β amyloid precursor protein-cleaving enzyme-2|beta-amyloid precursor protein-cleaving enzyme 2|
macrocreatine kinase type 1|macrocreatine kinase 1|
anti-IL17 monoclonal antibody|antiIL-17 monoclonal antibody|
anti-β-2 glycoprotein-I antibody|anti-beta 2-glycoprotein-I antibody|
hypoxia-inducible factor-1α protein|hypoxia inducible factor 1α protein|
peroxisome-proliferator-activated receptor-γ coactivator 1 α|peroxisome proliferator-activated receptor γ co-activator-1 α|
American Society of Anaesthesiology class 2|American Society of Anaesthesiologists grade 2|
beta-phenyl-ethylamine|beta-phenylethylamine|
receptor-like protein-tyrosine phosphatase-delta|receptor-like protein tyrosine phosphatase δ|
transforming growth factor beta receptor|transforming growth factor-beta receptor|
anti-IL1alpha monoclonal antibody|anti-IL 1 alpha monoclonal antibody|
peroxisome proliferator-activated receptor γ coactivator 1α protein|peroxisome proliferator-activated receptor gamma coactivator 1 alpha protein|
anti-β 2-glycoprotein-I antibody|anti-beta-2-glycoprotein-1 antibody|
human immunodeficiency type 1 virus|human immunodeficiency virus type 1|
transforming growth factor-beta1|transforming growth factor-β(1)|
disulfide-stabilised Fv|disulfide-stabilized Fv|
Toll-interleukin1 receptor domain-containing adapter-inducing interferon β|Toll/interleukin1 receptor domain-containing adapter-inducing interferon-β|
anti-beta(2)-glycoprotein 1 antibody|anti-beta 2-glycoprotein I antibody|
T cell receptor γ δ-positive|T-cell-receptor-γ δ-positive|
transforming growth factor-β type II receptor|transforming growth factor beta type II receptor|
ER α knockout mouse|ER-α knock out mouse|
recombinant human interleukin 1 α|recombinant human interleukin 1α|
light-harvesting chlorophyll-a/b-binding protein|light harvesting chlorophyll a/b protein|
anti-beta-2 glycoprotein-1 antibody|anti-beta(2)-glycoprotein 1 antibody|
American Society of Anaesthesiologists Status 4|American Society of Anesthesiologists Status IV|
toll/interleukin 1 receptor domain-containing adapter-inducing interferon beta|Toll-interleukin-1 receptor domain-containing adapter-inducing interferon-beta|
American Society of Anaesthesiology grade 5|American Society of Anesthesiologists Grade 5|
β-2 glycoprotein I|β2-glycoprotein-I|
invariant T-cell receptor Vα-14|invariant T-cell receptor V α 14|
IL-4 receptor-α chain|IL-4 receptor alpha-chain|
gonadotropin releasing hormone analogue|gonadotropin-releasing hormone agonist|
insulin-like growth factor-I receptor|insulin-like growth factor receptor type 1|
transforming growth factor-β receptor type II|transforming growth factor-β type II receptor|
anti-β2 glycoprotein-I antibody|anti-beta2 glycoprotein I antibody|
calcitonin gene-related peptide-immunoreactive nerve fibre|calcitonin-gene-related peptide-immunoreactive nerve fibre|
5-hydroxytryptamine|5-hydroxytryptamine 1A|
anti-TCR alphabeta monoclonal antibody|anti-TCR αβ monoclonal antibody|
interleukine 2 receptor α-chain|interleukin 2 receptor α chain|
beta-amyloid precursor protein cleaving enzyme 1|β amyloid precursor protein cleaving enzyme 1|
estrogen receptor α knock out|estrogen receptor-α knock out|
type-2 corticotrophin-releasing-hormone receptor|type-2 corticotrophin-releasing hormone receptor|
β 2-glycoprotein-I|β-2 glycoprotein-1|
toll/interleukin 1 receptor domain-containing adapter-inducing interferon-beta|toll/interleukin 1 receptor domain-containing adapter-inducing interferon β|
anti-beta-2-glycoprotein 1 antibody|anti-beta2-glycoprotein-1 antibody|
T-cell receptor gammadelta-positive|T-cell-receptor-gamma delta-positive|
transforming-growth-factor-beta-activated kinase 1|transforming growth factor-β activated kinase-1|
fluorine-18-labeled fluoro-deoxy-glucose|fluorine-18 fluoro-deoxy-glucose|
anti-β 2 glycoprotein 1 antibody|anti-β-2-glycoprotein I antibody|
peroxisome-proliferator-activated receptor-γ coactivator-1α|peroxisome proliferator-activated receptor γ co-activator-1 α|
American Society of Anaesthesiologists physical status 2|American Society of Anesthesiologists Grade 2|
American Society of Anesthesiologists physical status 5|American Society of Anaesthesiologists class 5|
interleukin-2 receptor α|interleukin-2 receptor α subunit|
prostaglandin-F(2) α|prostaglandin F-2α|
interleukin-13 receptor α1-chain|interleukine-13 receptor α-1 chain|
cross polarisation/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross-polarisation magic-angle spinning nuclear magnetic resonance spectroscopy|
peroxisome proliferator activated receptor γ 2|peroxisome proliferator-activated receptor-gamma 2|
retinoic-acid-receptor-related orphan receptor gammat|retinoic acid receptor-related orphan receptor gamma-t|
interleukine-13 receptor α2 chain|interleukin-13 receptor-α2 subunit|
gastro-esophageal reflux disease|gastroesophageal reflux disease|
DNA polymerase α1|DNA polymerase α-1|
toll-interleukin1 receptor domain-containing adapter-inducing interferon-β|toll/interleukin 1 receptor domain-containing adapter-inducing interferon beta|
American Society of Anaesthesiologists physical status I|American Society of Anesthesiologists class I|
American Society of Anaesthesiology Class 5|American Society of Anesthesiology class 5|
anti-beta-2-glycoprotein-1 antibody|anti-β2-glycoprotein 1 antibody|
anti-beta-2-glycoprotein-I antibody|anti-beta2 glycoprotein I antibody|
human T-cell leukemia virus type-I-infected|human T cell leukemia virus type 1-infected|
peroxisome proliferator-activated receptor γ 2|peroxisome proliferator-activated receptor-gamma 2|
anti-human T-cell lymphotrophic virus-1 antibody|anti-human T cell lymphotrophic virus type I antibody|
Fas-associated death domain-like interleukin-1β-converting enzyme-inhibitory protein|Fas-associated death domain-like interleukin-1 beta converting enzyme inhibitory protein|
β2 glycoprotein 1|β2 glycoprotein-1|
T-cell receptor γδ-positive|T-cell receptor gammadelta-positive|
peroxisome proliferator activated receptor γ 1|peroxisome proliferator-activated receptor-γ1|
retinoic-acid-receptor-related orphan receptor γT|retinoic acid receptor-related orphan receptor γ T|
American Society of Anaesthesiology class V|American Society of Anesthesiologists class V|
anti-β(2) glycoprotein I antibody|anti-beta(2) glycoprotein I antibody|
receptor-like protein-tyrosine phosphatase-ζ|receptor protein-tyrosine phosphatase-ζ|
insulin-like growth factor receptor type II|insulin-like growth factor receptor type 2|
anti-β(2)-glycoprotein I antibody|anti-beta(2)-glycoprotein 1 antibody|
light harvesting chlorophyll a/b binding protein-I|light-harvesting chlorophyll a/b-binding protein-I|
Toll-interleukin1 receptor domain-containing adapter inducing interferon β|Toll-interleukin-1 receptor domain-containing adapter-inducing interferon-β|
inhibitor-κ B-beta|inhibitor-κB-beta|
phospho-diester|phosphodiester|
T-cell-receptor γ δ-positive|T-cell receptor-γ δ-positive|
toll/interleukin1 receptor domain-containing adapter-inducing interferon β|Toll/interleukin 1 receptor domain-containing adapter-inducing interferon-beta|
fluorine-18-labeled fluorodeoxyglucose|fluorine-18-fluoro-deoxy-glucose|
receptor-like protein tyrosine phosphatase-α|receptor-like protein tyrosine phosphatase alpha|
antiinterleukin 6 receptor monoclonal antibody|antiIL-6 receptor monoclonal antibody|
phospholipase C γ-2|phospholipase C γ2|
T2 weighted image|T(2) weighted image|
anti-T-cell receptor-α β antibody|anti-T cell receptor-alpha beta antibody|
human transforming growth factor-beta2|human transforming growth factor β 2|
anti-β-2-glycoprotein-1 antibody|anti-beta(2)-glycoprotein 1 antibody|
colony forming unit/granulocyte-macrophage|colony forming unit/granulocyte macrophage|
human insulin-like growth factor-I|human insulin-like growth factor 1|
estrogen receptor 1|estrogen receptor alpha|
human β-defensin 4|human β defensin-4|
anti-beta2 glycoprotein-I antibody|anti-β2 glycoprotein 1 antibody|
interferon-β-1a|interferon-β1a|
3-phosphoglycerate kinase|phospho-glycero-kinase|
anti-beta-2-glycoprotein-I antibody|anti-β-2 glycoprotein-I antibody|
American Society of Anesthesiologists class V|American Society of Anesthesiologists Grade V|
anti-β (2)-glycoprotein I antibody|anti-β 2 glycoprotein-I antibody|
modified Rankin Scale|Modified Rankin Score|
A β precursor protein|Aβ precursor protein|
anti-beta2 glycoprotein 1 antibody|anti-beta-2 glycoprotein I antibody|
IL-13 receptor alpha 1 chain|IL-13 receptor alpha1 chain|
phospho-glycogen synthase kinase 3 β|phosphorylated glycogen synthase kinase-3β|
complementary-determining region-3|third complementarity determining region|
interleukine-13 receptor α 1|interleukine-13 receptor alpha1|
seven-in-absentia homolog-1|seven-in-absentia homologue 1|
anti-β-2-glycoprotein I antibody|anti-β-2 glycoprotein-1 antibody|
anti-human T-cell lymphotropic virus-1 antibody|anti-human T cell lymphotrophic virus 1 antibody|
crosspolarisation/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarization/magic angle spinning nuclear magnetic resonance spectroscopy|
anti-beta2-glycoprotein I antibody|anti-beta-2 glycoprotein I antibody|
retinoic-acid-receptor-related orphan receptor γT|retinoic acid receptor-related orphan receptor γ-t|
T cell receptor-γδ-positive|T-cell-receptor-γδ-positive|
T cell receptor gamma delta-positive|T-cell-receptor-gamma delta-positive|
peroxisome proliferator-activated receptor-gamma co-activator 1alpha|peroxisome-proliferator-activated receptor-gamma coactivator-1alpha|
t cell replacing factor|T-cell replacing factor|
enzyme-linked immunosorbent assay|enzyme linked immunoadsorbent assay|
American Society of Anesthesiology Class 1|American Society of Anesthesiology grade 1|
T cell receptor gamma delta-positive|T cell receptor γ δ-positive|
oestrogen receptor-β knock out|oestrogen receptor β knockout|
fowl γ globulin|fowl γ-globulin|
interleukin-2 receptor α-subunit|interleukin-2 receptor α|
peroxisome proliferator-activated receptor-gamma coactivator-1 alpha|peroxisome proliferator-activated receptor-γ coactivator 1α|
serum insulin-like growth factor I level|serum insulin-like growth factor 1 level|
cross-polarisation magic angle spinning|cross polarisation/magic angle spinning|
cyclic AMP dependent protein kinase|cAMP dependent protein kinase|
prostaglandin F-(2) α|prostaglandin F-(2)α|
peroxisome-proliferator-activated receptor-γ coactivator-1 α|peroxisome-proliferator-activated receptor-gamma coactivator-1 alpha|
T cell receptor-gammadelta-positive|T cell receptor gamma delta-positive|
beta-tricalciumphosphate|β-tricalcium phosphate|
T-cell-receptor-γ δ-positive|T-cell-receptor-gamma delta-positive|
deoxy-haemoglobin|deoxy-hemoglobin|
insulin-like growth factor-II messenger RNA binding protein-3|insulin-like growth factor-II mRNA-binding protein 3|
T-cell receptor-γδ-positive|T cell receptor-γ δ-positive|
uroporphyrinogen synthetase|uroporphyrinogen synthase|
insulin-like growth factor II mRNA-binding protein 2|insulin-like growth factor-II mRNA-binding protein-2|
macrophage metalloelastase|macrophage metallo-elastase|
IL-12 receptor beta2|IL-12 receptor β 2|
transforming growth factor β1|transforming growth factor β-1|
anti-IL 1 antibody|antiIL-1 antibody|
anti-β-2 glycoprotein-1 antibody|anti-beta 2 glycoprotein-I antibody|
neural-precursor cell-expressed developmentally downregulated 8|neural-precursor-cell-expressed developmentally down-regulated 8|
anti-beta2 glycoprotein-1 antibody|anti-β2-glycoprotein-I antibody|
inhibitor κ B α|inhibitor-κBα|
recombinant human transforming growth factor-beta 3|recombinant human transforming growth factor-β 3|
intra-stromal corneal ring segment|intracorneal ring segment|
hepatocyte nuclear factor-1-α|hepatocyte nuclear factor-1α|
matrix assisted laser desorption ionisation mass spectrometry|matrix-assisted laser desorption ionisation mass spectrometry|
carcino-embryonic-antigen-positive|carcino-embryonic antigen positive|
light harvesting chlorophyll a/b protein II|light-harvesting chlorophyll a/b protein-II|
intra-peritoneal haemorrhage|intra-peritoneal hemorrhage|
American Society of Anaesthesiology physical status I|American Society of Anesthesiology status I|
interleukin-13 receptor α 2-chain|interleukin-13 receptor α 2 subunit|
123I-meta-iodobenzylguanidine scintigraphy|123I-metaiodobenzyl-guanidine scintigraphy|
anti-β 2 glycoprotein I antibody|anti-beta-2 glycoprotein I antibody|
matrix assisted laser desorption/ionization mass spectrometry|matrix assisted laser desorption ionisation-mass spectrometry|
sex determining region of the Y|sex-determining region of the Y chromosome|
American Society of Anaesthesiology class 5|American Society of Anaesthesiologists class V|
insulin-like growth factor-II messenger RNA binding protein 2|insulin-like growth factor-II messenger RNA binding protein-2|
Hb S-beta-thalassaemia|Hb-S-beta thalassemia|
interleukin-13 receptor-α2 subunit|interleukine-13 receptor-α 2 subunit|
GTP-binding protein βγ subunit|GTP-binding protein β-γ subunit|
recombinant interleukin-1alpha|recombinant interleukin 1 alpha|
cross polarization/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarisation/magic-angle spinning nuclear magnetic resonance spectroscopy|
Toll-interleukin1 receptor domain-containing adapter inducing interferon beta|Toll/interleukin1 receptor domain-containing adapter-inducing interferon β|
anti-β 2 glycoprotein-I antibody|anti-beta 2 glycoprotein-I antibody|
α 2b interferon|α2b-interferon|
insulin-like growth factor-II messenger RNA-binding protein 1|insulin-like growth factor II mRNA binding protein 1|
β-sialoglycoprotein|β sialoglycoprotein|
receptor-type protein-tyrosine phosphatase-beta|receptor-type protein-tyrosine phosphatase β|
human lymphocyte antigen B-27|human lymphocyte antigen B27|
peroxisome proliferator-activated receptor γ coactivator 1 α|peroxisome proliferator-activated receptor-gamma co-activator-1 alpha|
Hb-S/beta thalassaemia|Hb S/beta-thalassaemia|
neuro-muscular blocker|neuromuscular blockade|
transforming growth factor-beta-activated kinase 1|transforming-growth-factor-beta-activated kinase-1|
